 B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B20
644,409,2902,0.752945,636,454,3222,0.752992,449,282,3235,0.839636,565,521,3079,0.710556,563,432,2727,0.726496
647,413,2928,0.752769,636,454,3222,0.752992,460,291,3276,0.836838,576,525,3115,0.711538,572,430,2768,0.731082
645,414,2793,0.741815,538,355,2920,0.783206,433,280,3196,0.838895,554,512,3080,0.714922,555,421,2636,0.724567
656,427,2833,0.738037,538,355,2920,0.783206,458,293,3264,0.835254,568,512,3100,0.716501,571,426,2702,0.727621
650,417,2883,0.747273,609,418,3196,0.768677,461,300,3369,0.836468,592,517,3199,0.721744,584,429,2727,0.728137
648,418,2801,0.740292,609,418,3196,0.768677,455,298,3283,0.833566,582,515,3137,0.717963,585,435,2686,0.721243
634,406,2792,0.746091,538,355,2920,0.783206,432,288,3213,0.835476,551,497,3117,0.724958,561,424,2595,0.719112
633,401,2812,0.750389,609,418,3196,0.768677,435,291,3321,0.83887,583,518,3240,0.724321,587,436,2678,0.719974
630,396,2729,0.74656,609,418,3196,0.768677,426,291,3234,0.834894,571,508,3178,0.724362,583,439,2605,0.711564
636,406,2894,0.753939,609,418,3196,0.768677,437,288,3415,0.84445,584,516,3287,0.728635,578,421,2729,0.732698
616,385,2741,0.753679,527,356,2988,0.787081,409,282,3273,0.84135,576,513,3214,0.724712,558,414,2578,0.723262
1442,1544,2211,0.17763,1254,1310,1440,0.047273,890,789,1980,0.430119,730,567,3387,0.713202,778,528,3052,0.705028
1468,1614,2163,0.145353,1238,1326,1657,0.110962,889,809,2009,0.425834,721,565,3406,0.715437,774,524,3069,0.708322
1408,1572,2136,0.152104,1328,1454,1917,0.137348,893,818,2057,0.430957,700,555,3211,0.705258,754,571,2802,0.661429
1427,1594,2147,0.147821,1238,1326,1657,0.110962,885,814,2043,0.430172,701,553,3213,0.70632,760,564,2851,0.669693
1446,1611,2140,0.141029,1238,1326,1657,0.110962,886,811,2026,0.428269,701,546,3260,0.713085,767,549,2919,0.683391
1464,1628,2133,0.134273,1238,1326,1657,0.110962,887,808,2010,0.426544,708,546,3370,0.721144,774,534,2988,0.696763
1483,1645,2126,0.127552,1238,1326,1657,0.110962,887,800,1992,0.426934,722,549,3437,0.724536,780,525,3028,0.704475
1453,1560,2180,0.165775,1254,1310,1440,0.047273,889,783,1971,0.431373,735,547,3409,0.723458,784,527,3011,0.702092
1428,1573,2082,0.139261,1626,1780,2432,0.154796,974,859,2068,0.413051,688,557,3178,0.70174,752,562,2823,0.667947
1439,1586,2066,0.131435,1626,1780,2432,0.154796,991,847,2057,0.416667,685,557,3183,0.702139,749,560,2816,0.668246
1445,1600,2074,0.129015,1328,1454,1917,0.137348,964,840,2047,0.418081,689,550,3183,0.705331,754,567,2820,0.66519
1451,1614,2094,0.12945,1328,1454,1917,0.137348,936,833,2037,0.419512,694,548,3198,0.707421,758,574,2825,0.662254
1456,1628,2114,0.129877,1328,1454,1917,0.137348,909,826,2027,0.42096,694,548,3198,0.707421,763,581,2830,0.659337
1463,1642,2123,0.127756,1238,1326,1657,0.110962,897,818,2015,0.42252,697,552,3235,0.708476,768,573,2866,0.666764
1474,1653,2112,0.121912,1238,1326,1657,0.110962,893,810,2002,0.423898,697,555,3258,0.708891,774,556,2918,0.679908
1486,1665,2100,0.115538,1238,1326,1657,0.110962,889,802,1989,0.425296,699,549,3291,0.714063,779,540,2969,0.69222
1497,1676,2089,0.109695,1238,1326,1657,0.110962,886,791,1976,0.428262,709,540,3357,0.722864,783,529,2999,0.700113
1464,1575,2148,0.153908,1254,1310,1440,0.047273,887,778,1962,0.432117,719,531,3398,0.729702,787,529,2985,0.698919
1426,1596,2126,0.142397,1674,1814,2501,0.159212,954,873,2028,0.398139,699,584,3279,0.697644,759,569,2843,0.666471
1472,1644,2093,0.12015,1674,1814,2501,0.159212,967,883,2033,0.394376,692,579,3273,0.699377,772,573,2865,0.666667
1488,1653,2077,0.113673,1670,1838,2565,0.165115,983,876,2031,0.397317,691,563,3257,0.705236,766,568,2867,0.669287
1504,1663,2062,0.107114,1670,1838,2565,0.165115,999,869,2029,0.400276,691,557,3233,0.706069,761,563,2868,0.671816
1520,1672,2047,0.100834,1670,1838,2565,0.165115,1015,863,2028,0.402975,690,562,3225,0.703195,755,557,2870,0.674934
1520,1678,2054,0.10075,1280,1358,2186,0.233634,985,853,2017,0.405575,690,561,3240,0.704814,760,566,2868,0.670355
1512,1682,2073,0.104128,1280,1358,2186,0.233634,955,844,2007,0.407927,693,552,3246,0.709321,765,574,2866,0.666279
1503,1685,2092,0.107757,1280,1358,2186,0.233634,925,835,1997,0.410311,697,546,3255,0.712707,770,583,2864,0.661735
1499,1690,2099,0.107944,1114,1136,1876,0.245684,909,822,1987,0.414738,701,550,3288,0.713392,774,577,2891,0.667243
1503,1696,2083,0.102408,1114,1136,1876,0.245684,900,809,1977,0.419239,703,554,3319,0.713917,777,563,2931,0.677733
1507,1701,2067,0.097134,1114,1136,1876,0.245684,891,795,1967,0.42433,702,550,3335,0.71686,780,550,2970,0.6875
1512,1708,2052,0.091489,1114,1136,1876,0.245684,885,783,1959,0.428884,706,541,3346,0.721636,782,539,2995,0.694963
1474,1590,2117,0.142163,1106,1082,1864,0.265445,886,772,1953,0.433394,709,531,3351,0.72643,784,534,2989,0.696849
1437,1472,2182,0.194308,1106,1082,1864,0.265445,887,761,1947,0.437962,705,529,3344,0.726827,785,529,2984,0.698833
1328,1441,2175,0.202987,1704,1840,2447,0.141591,910,811,2019,0.426855,689,560,3396,0.716886,720,546,2898,0.682927
1347,1477,2202,0.197064,1704,1840,2447,0.141591,915,819,2016,0.422222,701,550,3402,0.72166,726,572,2861,0.666764
1367,1509,2219,0.190451,1674,1814,2501,0.159212,923,827,2037,0.422486,708,556,3391,0.718267,739,581,2856,0.661914
1390,1535,2215,0.181333,1674,1814,2501,0.159212,932,836,2069,0.424441,707,556,3345,0.714945,757,582,2868,0.662609
1413,1560,2211,0.172633,1674,1814,2501,0.159212,941,844,2101,0.426825,699,556,3308,0.712215,775,583,2880,0.663298
1437,1585,2207,0.16403,1674,1814,2501,0.159212,951,847,2128,0.430588,691,564,3295,0.707696,785,581,2892,0.665419
1445,1587,2203,0.162533,1670,1838,2565,0.165115,962,839,2141,0.436913,689,566,3285,0.70605,777,572,2902,0.670697
1453,1589,2200,0.161256,1670,1838,2565,0.165115,973,831,2155,0.443403,693,563,3272,0.706389,770,563,2913,0.676064
1462,1591,2197,0.159979,1670,1838,2565,0.165115,983,823,2169,0.449866,697,563,3269,0.706159,762,555,2923,0.680851
1460,1586,2210,0.164384,1280,1358,2186,0.233634,958,814,2173,0.454972,701,561,3282,0.708041,767,565,2915,0.675287
1453,1579,2231,0.171129,1280,1358,2186,0.233634,933,806,2178,0.459786,702,553,3303,0.713174,772,575,2907,0.66973
