 B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B20
885,840,3265,0.590743,615,439,3517,0.778059,706,584,3538,0.716642,677,676,3219,0.652888,869,761,2677,0.557301
864,771,3434,0.633294,615,439,3517,0.778059,687,558,3592,0.731084,694,653,3271,0.667176,837,722,2736,0.582418
843,767,3249,0.618028,615,439,3517,0.778059,636,509,3444,0.742474,631,618,3148,0.6718,780,677,2625,0.589945
819,700,3419,0.660112,615,439,3517,0.778059,624,491,3507,0.754377,651,609,3191,0.679474,764,647,2700,0.613385
676,443,3635,0.782737,665,492,3826,0.772117,588,428,3545,0.784546,639,526,3283,0.723812,658,511,2952,0.70488
686,440,3677,0.786252,551,397,3449,0.793552,582,432,3521,0.781432,633,523,3206,0.719496,636,475,2927,0.720752
677,440,3657,0.785209,612,433,3430,0.775822,564,410,3460,0.788114,610,521,3141,0.715456,609,448,2898,0.732218
637,426,3501,0.78304,612,433,3430,0.775822,530,380,3400,0.798942,577,524,3135,0.713583,582,432,2898,0.740541
594,406,3399,0.786597,544,398,3074,0.770737,500,374,3369,0.80016,604,526,3199,0.717584,578,429,2879,0.740629
573,405,3275,0.779891,544,398,3074,0.770737,513,399,3359,0.787653,613,523,3197,0.718817,598,437,2808,0.730663
728,483,3930,0.781101,776,492,3731,0.76699,661,423,3874,0.803118,803,771,2799,0.568067,826,788,2176,0.468286
697,448,4086,0.802382,776,492,3731,0.76699,647,403,3972,0.815771,777,754,2813,0.577236,818,791,2150,0.462088
642,379,4431,0.842412,709,455,4062,0.798539,620,375,4171,0.83502,756,751,2780,0.574625,798,804,2084,0.443213
661,400,4303,0.829896,776,492,3731,0.76699,633,387,4098,0.827425,758,744,2774,0.577032,808,799,2100,0.448775
689,436,4147,0.809732,776,492,3731,0.76699,652,407,3997,0.815168,775,755,2776,0.572359,819,801,2123,0.45212
718,472,3991,0.788483,776,492,3731,0.76699,670,428,3895,0.801989,805,774,2794,0.566144,830,804,2145,0.45473
747,508,3835,0.76606,776,492,3731,0.76699,683,446,3800,0.78992,816,763,2787,0.570141,838,805,2171,0.459005
871,542,4004,0.761549,902,609,3624,0.712261,771,512,3675,0.755433,764,588,3882,0.736913,798,535,3462,0.732299
630,352,4615,0.858265,709,455,4062,0.798539,616,382,4197,0.833151,755,744,2789,0.578828,784,821,2065,0.431046
640,366,4495,0.849414,709,455,4062,0.798539,618,379,4196,0.834317,758,747,2746,0.572287,795,805,2069,0.439805
655,387,4363,0.837053,776,492,3731,0.76699,633,392,4126,0.826472,753,741,2750,0.57548,807,803,2083,0.44352
682,425,4208,0.816534,776,492,3731,0.76699,656,412,4021,0.814121,761,755,2767,0.571266,820,808,2103,0.444864
709,462,4053,0.795349,776,492,3731,0.76699,679,432,3917,0.801334,791,770,2807,0.569472,833,813,2122,0.445997
735,499,3897,0.772975,776,492,3731,0.76699,692,450,3821,0.789277,806,762,2813,0.573706,842,817,2145,0.448346
886,554,4013,0.75739,914,612,3746,0.719137,784,519,3684,0.753034,778,588,3930,0.739708,800,531,3511,0.737259
881,553,3998,0.756976,902,609,3624,0.712261,776,507,3707,0.759374,759,598,3898,0.733986,798,534,3497,0.735053
874,550,3999,0.758189,902,609,3624,0.712261,768,496,3730,0.765263,750,613,3863,0.726095,797,537,3484,0.732902
621,337,4735,0.867114,709,455,4062,0.798539,614,384,4199,0.832424,745,708,2810,0.597499,773,838,2062,0.422069
650,374,4424,0.844102,798,531,3572,0.741165,634,397,4153,0.825495,742,733,2742,0.578129,808,803,2077,0.442361
674,413,4269,0.82358,798,531,3572,0.741165,661,417,4046,0.81313,746,746,2786,0.577576,822,808,2097,0.443718
699,451,4114,0.80241,798,531,3572,0.741165,688,437,3939,0.800274,776,764,2832,0.575083,835,812,2116,0.445355
724,490,3960,0.779775,798,531,3572,0.741165,702,455,3843,0.788274,793,774,2824,0.569761,844,817,2138,0.447039
734,497,3869,0.772332,807,545,3494,0.730131,691,467,3771,0.779613,798,779,2777,0.561867,843,820,2163,0.450218
626,326,4808,0.873003,715,466,3853,0.784209,616,388,4193,0.830605,739,730,2819,0.588616,772,829,2045,0.423104
632,340,4684,0.86465,715,466,3853,0.784209,616,386,4207,0.831918,749,752,2758,0.57151,784,816,2053,0.431161
894,567,3996,0.751479,918,630,3537,0.697624,791,519,3698,0.753853,769,591,3896,0.736572,798,531,3505,0.736868
890,564,3992,0.752414,912,600,3636,0.716714,781,503,3740,0.762904,750,600,3899,0.733274,801,533,3510,0.736334
638,353,4559,0.85627,715,466,3853,0.784209,616,384,4220,0.833189,754,740,2719,0.572131,795,804,2062,0.438939
886,559,4010,0.755307,912,600,3636,0.716714,772,488,3782,0.771429,743,607,3877,0.72926,803,535,3514,0.735737
881,552,4028,0.758952,912,600,3636,0.716714,763,473,3823,0.779795,753,600,3852,0.730458,805,537,3518,0.735142
879,550,4015,0.759036,889,571,3741,0.735158,757,465,3850,0.784473,766,598,3827,0.729717,807,539,3507,0.733564
620,318,4887,0.87781,714,472,3802,0.77913,616,390,4180,0.829322,727,706,2843,0.602141,761,841,2037,0.415566
886,577,3954,0.74531,918,630,3537,0.697624,781,515,3661,0.753352,762,594,3855,0.732974,797,530,3500,0.736973
888,570,3984,0.749671,918,630,3537,0.697624,757,507,3619,0.754241,770,605,3771,0.723492,789,523,3444,0.736325
725,490,3936,0.778581,798,531,3572,0.741165,700,462,3786,0.782486,787,783,2825,0.565965,846,816,2131,0.446216
883,573,3967,0.747577,912,600,3636,0.716714,774,503,3712,0.761329,750,588,3896,0.737734,803,532,3522,0.737543
707,458,4066,0.797524,798,531,3572,0.741165,686,447,3871,0.79296,772,765,2857,0.577581,837,811,2111,0.444901
689,426,4196,0.815664,798,531,3572,0.741165,661,427,3974,0.805953,745,743,2833,0.584452,823,808,2091,0.442566
658,373,4449,0.845292,715,466,3853,0.784209,619,394,4140,0.826202,754,740,2719,0.572131,796,804,2055,0.437566
880,565,4002,0.752573,912,600,3636,0.716714,766,490,3764,0.769629,752,582,3884,0.739364,809,533,3544,0.738533
647,356,4568,0.855402,715,466,3853,0.784209,619,393,4121,0.825875,746,760,2719,0.563093,784,812,2041,0.430775
636,339,4687,0.865101,715,466,3853,0.784209,619,392,4102,0.825545,741,758,2811,0.575231,772,820,2028,0.424157
628,329,4761,0.870727,714,472,3802,0.77913,619,391,4083,0.825212,737,732,2863,0.592768,760,827,2015,0.418015
729,493,3872,0.774112,807,545,3494,0.730131,692,469,3734,0.776826,795,790,2778,0.557175,844,821,2153,0.447882
876,556,4036,0.75784,912,600,3636,0.716714,759,477,3815,0.777726,763,578,3840,0.738343,815,534,3566,0.739512
671,394,4326,0.833051,798,531,3572,0.741165,636,408,4077,0.81806,737,726,2797,0.587851,809,804,2072,0.44089
875,553,4028,0.758568,889,571,3741,0.735158,756,471,3840,0.781489,767,588,3793,0.731568,817,535,3568,0.739215
879,564,3934,0.749222,889,571,3741,0.735158,754,467,3851,0.783696,770,607,3766,0.722387,816,536,3560,0.738281
877,586,3912,0.73944,918,630,3537,0.697624,772,512,3624,0.752418,762,584,3819,0.734726,796,530,3495,0.736646
876,582,3942,0.742706,912,600,3636,0.716714,767,502,3685,0.76021,755,570,3885,0.744108,805,530,3534,0.739173
874,571,3994,0.749836,912,600,3636,0.716714,761,492,3746,0.767815,760,561,3879,0.747297,815,531,3574,0.741291
872,559,4045,0.757168,912,600,3636,0.716714,755,482,3806,0.775187,767,567,3823,0.741686,825,531,3613,0.743726
872,557,4042,0.757773,889,571,3741,0.735158,754,476,3829,0.778862,767,567,3823,0.741686,826,532,3628,0.744231
721,488,3836,0.774283,807,545,3494,0.730131,689,474,3668,0.771125,802,778,2783,0.563044,840,831,2162,0.444704
724,490,3874,0.775435,807,545,3494,0.730131,693,472,3698,0.773621,795,781,2798,0.563565,844,823,2143,0.445044
726,491,3912,0.77697,798,531,3572,0.741165,698,470,3728,0.776084,787,770,2848,0.57435,848,815,2124,0.44539
715,466,4018,0.79215,798,531,3572,0.741165,684,456,3804,0.785915,775,759,2874,0.582164,840,811,2105,0.443759
704,440,4123,0.807144,798,531,3572,0.741165,661,437,3903,0.798617,755,745,2866,0.587372,825,808,2086,0.441603
679,392,4339,0.834284,715,466,3853,0.784209,623,404,4059,0.818956,743,726,2769,0.584549,796,804,2047,0.435987
662,372,4452,0.845771,715,466,3853,0.784209,622,401,4035,0.819206,740,743,2738,0.573111,784,807,2030,0.431089
646,352,4565,0.856823,715,466,3853,0.784209,622,397,4011,0.819873,746,749,2794,0.577194,771,810,2012,0.425939
693,414,4229,0.821667,798,531,3572,0.741165,638,418,4001,0.810817,739,726,2864,0.595543,810,805,2066,0.43922
878,572,3928,0.745778,889,571,3741,0.735158,754,473,3832,0.780255,768,589,3767,0.729568,823,532,3631,0.744415
710,480,3864,0.779006,830,545,3340,0.719434,694,472,3652,0.771096,806,771,2815,0.569994,838,813,2175,0.455823
718,486,3876,0.777166,830,545,3340,0.719434,695,475,3661,0.770309,800,770,2847,0.574233,840,809,2163,0.455585
727,492,3888,0.775342,788,588,3374,0.70318,695,478,3670,0.769527,792,755,2903,0.587206,843,805,2151,0.455345
723,473,3969,0.787033,788,588,3374,0.70318,682,466,3736,0.778201,779,748,2901,0.590025,835,804,2133,0.452503
715,435,4131,0.809461,788,588,3374,0.70318,640,429,3926,0.802985,745,724,2863,0.59632,811,807,2093,0.443448
699,412,4229,0.822452,717,477,3716,0.772478,626,415,3979,0.811106,735,716,2851,0.598542,800,809,2074,0.438779
678,389,4337,0.835379,717,477,3716,0.772478,626,408,3950,0.812758,737,722,2810,0.591166,789,812,2058,0.434146
656,365,4444,0.848201,717,477,3716,0.772478,625,401,3921,0.814438,751,729,2823,0.589527,778,816,2043,0.429171
719,454,4050,0.798401,788,588,3374,0.70318,661,448,3831,0.790605,761,739,2867,0.590128,823,806,2113,0.447756
869,591,3918,0.737858,897,599,3594,0.714286,760,502,3657,0.758596,757,575,3799,0.737083,802,522,3516,0.741456
868,576,3986,0.747479,897,599,3594,0.714286,756,495,3728,0.76557,758,567,3873,0.744595,814,521,3583,0.746101
867,562,4054,0.756499,897,599,3594,0.714286,752,487,3798,0.772695,762,559,3867,0.747402,825,519,3651,0.751079
869,560,4055,0.757313,875,582,3598,0.721531,752,482,3818,0.775814,765,572,3815,0.73923,826,519,3664,0.751853
874,583,3903,0.74008,897,599,3594,0.714286,749,491,3641,0.762343,746,573,3754,0.735151,800,515,3498,0.743334
872,572,3962,0.747684,897,599,3594,0.714286,750,488,3713,0.767674,756,575,3815,0.738041,812,510,3593,0.751401
871,561,4021,0.755129,897,599,3594,0.714286,750,484,3785,0.773249,762,570,3831,0.740968,824,506,3688,0.758703
873,563,4012,0.75388,875,582,3598,0.721531,753,483,3794,0.774141,764,581,3811,0.735428,826,507,3699,0.758916
661,376,4368,0.841484,717,477,3716,0.772478,625,406,3871,0.810147,763,718,2905,0.603643,785,821,2075,0.433011
686,402,4263,0.827653,717,477,3716,0.772478,626,411,3904,0.809502,760,716,2863,0.599888,794,818,2087,0.436833
711,427,4158,0.81374,717,477,3716,0.772478,627,415,3938,0.809327,744,715,2843,0.598089,803,814,2100,0.441318
728,451,4064,0.800222,788,588,3374,0.70318,639,429,3887,0.801205,745,721,2811,0.591733,812,810,2119,0.44691
733,489,3917,0.77803,788,588,3374,0.70318,675,465,3701,0.776764,761,735,2899,0.595487,831,798,2161,0.460629
736,508,3843,0.76649,788,588,3374,0.70318,687,475,3637,0.768969,780,749,2939,0.593818,837,795,2177,0.465007
726,501,3841,0.769231,830,545,3340,0.719434,689,472,3633,0.770037,798,758,2941,0.590159,837,795,2182,0.465905
716,494,3838,0.77193,830,545,3340,0.719434,691,468,3628,0.771484,805,765,2891,0.58151,836,795,2187,0.466801
730,470,3990,0.789238,788,588,3374,0.70318,657,446,3794,0.789623,749,725,2853,0.594746,822,804,2140,0.453804
707,487,3836,0.774693,830,545,3340,0.719434,693,465,3623,0.772505,802,769,2853,0.575373,836,795,2192,0.467693
690,413,4211,0.821367,717,477,3716,0.772478,624,411,3879,0.808392,766,710,2875,0.603905,799,823,2116,0.439946
717,440,4106,0.806423,717,477,3716,0.772478,626,411,3916,0.81003,755,717,2819,0.594457,806,820,2127,0.443502
740,487,3937,0.779837,788,588,3374,0.70318,651,440,3774,0.791172,752,726,2885,0.597895,820,802,2167,0.459751
744,509,3862,0.767101,788,588,3374,0.70318,665,457,3681,0.77912,758,735,2938,0.599782,827,792,2190,0.468813
748,532,3787,0.753647,788,588,3374,0.70318,676,468,3617,0.770869,776,753,2939,0.592091,832,784,2204,0.475234
