 B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B20
663,589,2485,0.616786,666,587,2447,0.613052,608,555,2464,0.632329,604,546,2861,0.679483,583,496,2168,0.627628
670,588,2473,0.615812,666,587,2447,0.613052,612,561,2446,0.626871,603,540,2828,0.679335,565,481,2145,0.633663
674,588,2460,0.614173,699,600,2412,0.601594,606,565,2436,0.623459,606,538,2769,0.67463,571,484,2136,0.630534
671,593,2448,0.609997,699,600,2412,0.601594,595,567,2429,0.621495,597,558,2735,0.661099,590,497,2133,0.622053
667,598,2435,0.605671,699,600,2412,0.601594,584,569,2421,0.619398,594,578,2735,0.651072,610,509,2130,0.614248
663,603,2422,0.601322,699,600,2412,0.601594,581,571,2413,0.617292,601,577,2730,0.651043,624,527,2122,0.602114
676,597,2429,0.60542,686,625,2462,0.595076,590,572,2404,0.615591,605,568,2707,0.65313,627,553,2107,0.584211
655,591,2498,0.617352,666,587,2447,0.613052,604,548,2481,0.638164,611,551,2864,0.677306,602,511,2190,0.621622
666,593,2524,0.619506,707,607,2587,0.619912,607,535,2508,0.648373,601,544,2870,0.681312,594,498,2218,0.633284
670,581,2506,0.623583,707,607,2587,0.619912,614,541,2489,0.642904,602,542,2872,0.682484,578,486,2200,0.638124
674,570,2489,0.627329,707,607,2587,0.619912,622,546,2470,0.637931,600,538,2859,0.68325,562,473,2182,0.643691
674,561,2471,0.629947,674,602,2426,0.602378,613,548,2457,0.635275,592,529,2804,0.682568,565,476,2166,0.639667
663,560,2453,0.628277,674,602,2426,0.602378,597,547,2446,0.63448,577,530,2741,0.67594,578,487,2152,0.630921
653,558,2435,0.62713,674,602,2426,0.602378,580,546,2436,0.633803,577,535,2734,0.672683,591,497,2137,0.622627
643,557,2417,0.62542,674,602,2426,0.602378,571,545,2425,0.632997,588,535,2741,0.673382,600,511,2121,0.611702
650,550,2431,0.630996,624,576,2341,0.605074,575,541,2412,0.633593,591,533,2715,0.671798,600,532,2101,0.595898
671,582,2548,0.628115,707,607,2587,0.619912,601,530,2515,0.651888,593,530,2876,0.688784,585,486,2246,0.644217
673,571,2523,0.630899,707,607,2587,0.619912,607,535,2498,0.647214,599,526,2880,0.691133,572,476,2232,0.648449
675,560,2498,0.633748,707,607,2587,0.619912,613,540,2481,0.642502,590,527,2861,0.688902,559,465,2218,0.653373
672,553,2471,0.634259,674,602,2426,0.602378,607,541,2466,0.640173,573,519,2781,0.685455,559,468,2196,0.648649
660,554,2440,0.629927,674,602,2426,0.602378,595,541,2451,0.638369,564,509,2694,0.682173,566,477,2170,0.639592
649,554,2410,0.626181,674,602,2426,0.602378,583,541,2437,0.636669,567,506,2702,0.684539,573,485,2145,0.631179
637,555,2379,0.621677,674,602,2426,0.602378,575,540,2422,0.635382,577,506,2741,0.688328,577,496,2120,0.620795
640,544,2393,0.629554,624,576,2341,0.605074,575,535,2407,0.636302,578,508,2724,0.685644,574,510,2096,0.608596
643,533,2406,0.637292,624,576,2341,0.605074,575,531,2392,0.636675,579,513,2682,0.678873,571,523,2073,0.597072
676,570,2572,0.637174,707,607,2587,0.619912,595,525,2522,0.655399,586,518,2889,0.69592,575,473,2269,0.654996
675,561,2539,0.638065,707,607,2587,0.619912,600,529,2507,0.651515,588,514,2888,0.697825,565,464,2258,0.659074
675,551,2507,0.639634,707,607,2587,0.619912,605,533,2492,0.647603,572,516,2846,0.69304,554,456,2247,0.662597
670,545,2471,0.638594,674,602,2426,0.602378,601,535,2475,0.644518,557,512,2760,0.687042,552,458,2220,0.657954
658,548,2428,0.63172,674,602,2426,0.602378,594,536,2456,0.641711,556,500,2690,0.68652,555,466,2184,0.648302
645,551,2385,0.624659,674,602,2426,0.602378,586,536,2438,0.639543,560,494,2701,0.690767,558,474,2148,0.638444
632,553,2341,0.61783,674,602,2426,0.602378,580,535,2419,0.637779,563,495,2729,0.692928,558,482,2116,0.628945
630,538,2354,0.627939,624,576,2341,0.605074,576,529,2402,0.639031,564,497,2710,0.690053,552,490,2092,0.620449
628,523,2367,0.638062,624,576,2341,0.605074,572,523,2384,0.640179,569,505,2674,0.68229,547,499,2067,0.611068
681,559,2596,0.645642,710,597,2609,0.627573,589,520,2530,0.659016,573,508,2914,0.703098,564,459,2284,0.66533
678,550,2556,0.645847,710,597,2609,0.627573,593,523,2517,0.655921,569,508,2911,0.702837,554,451,2273,0.668869
675,541,2516,0.646058,710,597,2609,0.627573,596,526,2504,0.652805,559,507,2845,0.697494,544,442,2262,0.673077
669,537,2471,0.642952,666,601,2508,0.61338,595,529,2484,0.648855,550,504,2771,0.692214,543,445,2230,0.66729
655,542,2415,0.633412,666,601,2508,0.61338,592,530,2462,0.645722,549,498,2723,0.690779,546,454,2187,0.656191
641,547,2359,0.623537,666,601,2508,0.61338,589,532,2439,0.641871,550,493,2709,0.692067,549,463,2145,0.644939
627,552,2304,0.613445,666,601,2508,0.61338,584,530,2417,0.640312,550,489,2707,0.693992,548,470,2109,0.635518
620,533,2316,0.625834,650,563,2422,0.622781,576,523,2397,0.641781,550,488,2705,0.694331,542,476,2088,0.628705
613,514,2328,0.638283,650,563,2422,0.622781,568,516,2377,0.643277,559,493,2698,0.691006,535,482,2067,0.621812
681,558,2532,0.638835,710,597,2609,0.627573,604,536,2524,0.649673,559,504,2940,0.707317,535,428,2277,0.683549
675,554,2487,0.635646,666,601,2508,0.61338,603,537,2506,0.647059,555,501,2857,0.701608,534,431,2240,0.677274
662,552,2437,0.630646,666,601,2508,0.61338,600,537,2483,0.644371,548,501,2783,0.694884,537,441,2190,0.664766
650,550,2388,0.625596,666,601,2508,0.61338,596,538,2460,0.641094,545,501,2740,0.690836,540,451,2141,0.652006
638,548,2338,0.620236,666,601,2508,0.61338,589,534,2442,0.641129,545,495,2716,0.691685,539,459,2102,0.641546
627,527,2347,0.633264,650,563,2422,0.622781,578,523,2432,0.646024,544,486,2720,0.696818,531,462,2085,0.63722
617,505,2355,0.646853,650,563,2422,0.622781,566,511,2422,0.651551,544,480,2749,0.702694,523,465,2067,0.632701
684,563,2574,0.641058,710,597,2609,0.627573,599,533,2534,0.652429,563,503,2943,0.708067,543,437,2288,0.679266
690,576,2592,0.636364,710,597,2609,0.627573,606,543,2551,0.648998,563,513,2946,0.703382,532,423,2303,0.689655
686,575,2548,0.631764,710,597,2609,0.627573,612,545,2544,0.647135,560,506,2948,0.707006,525,414,2291,0.6939
680,571,2503,0.628497,666,601,2508,0.61338,611,545,2527,0.645182,555,500,2871,0.703352,525,418,2250,0.686657
670,562,2460,0.628061,666,601,2508,0.61338,607,544,2504,0.643045,550,502,2798,0.695758,528,429,2194,0.672894
659,554,2416,0.626936,666,601,2508,0.61338,603,544,2482,0.640449,546,505,2766,0.691226,531,440,2137,0.658518
649,545,2373,0.626456,666,601,2508,0.61338,595,538,2467,0.64193,545,498,2751,0.693444,529,448,2095,0.64766
635,520,2378,0.641132,650,563,2422,0.622781,579,522,2467,0.650719,548,484,2757,0.701327,520,448,2081,0.64571
622,496,2383,0.655436,650,563,2422,0.622781,563,506,2467,0.659603,547,477,2789,0.7079,511,449,2067,0.643084
608,471,2388,0.670514,650,563,2422,0.622781,548,490,2468,0.668695,546,476,2811,0.710374,502,450,2054,0.640575
696,590,2610,0.63125,788,669,2641,0.59577,613,553,2568,0.645626,573,526,2924,0.695072,537,432,2321,0.686161
691,592,2563,0.624723,788,669,2641,0.59577,620,554,2565,0.644758,569,514,2938,0.702202,530,426,2312,0.688824
686,588,2519,0.6215,733,640,2607,0.60579,619,553,2548,0.643341,561,505,2895,0.702941,528,429,2277,0.682927
