 B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B20
618,353,3314,0.807472,636,424,3304,0.772532,488,288,3456,0.846154,779,614,3588,0.707758,877,803,2672,0.537842
609,336,3399,0.82008,636,424,3304,0.772532,481,285,3506,0.849644,772,601,3621,0.715301,892,808,2689,0.53789
601,344,3353,0.813903,658,407,3484,0.790799,480,283,3528,0.851483,774,599,3718,0.722492,887,804,2699,0.540965
593,351,3308,0.808144,658,407,3484,0.790799,479,280,3549,0.853748,784,597,3695,0.721808,882,800,2710,0.54416
585,358,3262,0.80221,658,407,3484,0.790799,478,278,3571,0.855547,786,614,3574,0.706781,877,796,2721,0.547341
597,389,3188,0.782499,641,419,3240,0.770976,481,291,3452,0.84451,777,620,3478,0.697413,853,763,2703,0.559723
619,432,3098,0.755241,641,419,3240,0.770976,484,304,3333,0.832829,770,630,3438,0.690265,829,730,2686,0.5726
627,369,3230,0.794943,636,424,3304,0.772532,498,290,3391,0.842434,784,634,3565,0.698023,853,794,2654,0.539443
599,349,3181,0.802266,567,357,3298,0.804651,466,267,3408,0.854694,793,626,3699,0.71052,865,801,2738,0.54733
590,335,3236,0.812378,567,357,3298,0.804651,456,267,3453,0.856452,791,607,3711,0.718851,884,805,2764,0.548893
581,321,3292,0.822308,567,357,3298,0.804651,450,268,3482,0.857067,783,593,3713,0.72457,895,806,2785,0.5511
577,331,3238,0.814514,603,366,3344,0.802695,452,267,3478,0.85741,776,585,3738,0.729355,891,802,2792,0.553701
573,340,3185,0.807092,603,366,3344,0.802695,455,267,3475,0.857296,791,613,3668,0.713618,887,798,2799,0.556297
569,349,3131,0.799425,603,366,3344,0.802695,458,266,3471,0.85764,795,627,3596,0.703055,883,794,2807,0.559011
584,382,3074,0.778935,605,378,2998,0.776066,464,282,3353,0.844842,784,629,3527,0.697305,861,762,2764,0.567782
609,426,3014,0.752326,605,378,2998,0.776066,470,299,3235,0.830787,777,630,3469,0.692608,838,731,2721,0.576477
