 B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B20
449,339,2610,0.770092,450,374,2636,0.751495,336,282,2542,0.800283,670,612,2900,0.651481,475,356,2474,0.74841
443,337,2592,0.769887,450,374,2636,0.751495,334,284,2534,0.798439,659,602,2882,0.65442,469,362,2470,0.74435
458,347,2612,0.765461,450,374,2636,0.751495,340,296,2563,0.792935,667,601,2890,0.655686,467,368,2483,0.741845
428,328,2572,0.773793,452,332,2569,0.771113,328,272,2504,0.804035,652,608,2864,0.64977,472,357,2456,0.746178
425,328,2569,0.773559,452,332,2569,0.771113,327,273,2497,0.802888,650,597,2805,0.64903,470,361,2446,0.742786
437,335,2574,0.76968,450,374,2636,0.751495,332,287,2525,0.795875,658,598,2834,0.651515,467,366,2463,0.741251
449,343,2579,0.765229,450,374,2636,0.751495,336,300,2553,0.789695,668,599,2873,0.654954,464,371,2480,0.73974
423,323,2545,0.774756,452,332,2569,0.771113,318,270,2488,0.804206,649,595,2780,0.647407,470,360,2428,0.74175
418,318,2501,0.774388,432,364,2512,0.746871,310,277,2472,0.798472,652,606,2785,0.642583,465,365,2389,0.734931
420,323,2534,0.773889,432,364,2512,0.746871,319,272,2478,0.802182,642,593,2792,0.649631,470,363,2410,0.73819
422,328,2567,0.773402,432,364,2512,0.746871,326,274,2490,0.801737,638,593,2821,0.652607,473,362,2431,0.740781
431,334,2556,0.768858,460,344,2562,0.763248,329,289,2517,0.794013,652,602,2839,0.650102,470,363,2451,0.742004
440,340,2545,0.764298,460,344,2562,0.763248,333,304,2543,0.786442,668,607,2863,0.650144,468,365,2472,0.742686
449,346,2535,0.759806,460,344,2562,0.763248,337,319,2570,0.779162,670,612,2885,0.649986,466,366,2492,0.743877
409,320,2483,0.771673,432,364,2512,0.746871,310,276,2483,0.799928,652,628,2772,0.630588,461,369,2369,0.73046
417,322,2513,0.772839,432,364,2512,0.746871,315,270,2482,0.803779,649,608,2811,0.64434,470,366,2392,0.73459
425,324,2543,0.77398,432,364,2512,0.746871,320,271,2490,0.803694,644,603,2870,0.65275,476,363,2416,0.738755
433,331,2542,0.769579,460,344,2562,0.763248,324,284,2515,0.79707,647,612,2876,0.649083,474,361,2440,0.742235
441,337,2540,0.765728,460,344,2562,0.763248,328,297,2540,0.790624,655,614,2874,0.647936,472,358,2463,0.746189
449,344,2538,0.761277,460,344,2562,0.763248,332,310,2566,0.784423,652,613,2899,0.650911,470,356,2487,0.74956
401,318,2453,0.77048,432,364,2512,0.746871,305,282,2483,0.796022,651,638,2808,0.629716,452,372,2345,0.726169
413,328,2478,0.766215,446,396,2530,0.729323,314,302,2530,0.786723,652,634,2839,0.634898,442,375,2292,0.718785
394,325,2448,0.765597,446,396,2530,0.729323,310,291,2511,0.792291,654,637,2839,0.633487,437,378,2301,0.717805
385,322,2438,0.766667,432,364,2512,0.746871,309,283,2500,0.796622,649,634,2801,0.630859,444,377,2322,0.720637
400,322,2465,0.768927,432,364,2512,0.746871,310,276,2493,0.80065,649,627,2772,0.631068,458,373,2348,0.725836
414,322,2493,0.771226,432,364,2512,0.746871,311,269,2486,0.804719,658,616,2824,0.64186,471,369,2374,0.730951
429,321,2520,0.774023,432,364,2512,0.746871,314,268,2490,0.805656,659,613,2887,0.649714,479,364,2401,0.736709
436,328,2527,0.770228,460,344,2562,0.763248,318,279,2514,0.800215,650,616,2900,0.649602,477,358,2428,0.743001
443,335,2534,0.766469,460,344,2562,0.763248,323,290,2538,0.794908,644,611,2895,0.651455,476,352,2455,0.749198
450,341,2541,0.763359,460,344,2562,0.763248,328,301,2562,0.789731,643,605,2904,0.655172,475,346,2483,0.755391
449,344,2545,0.761855,453,351,2518,0.755315,327,299,2554,0.790396,643,604,2909,0.656134,468,352,2430,0.746945
501,400,2527,0.726683,552,414,2494,0.715268,455,385,2521,0.735031,639,570,2816,0.66332,520,399,2297,0.704006
505,409,2534,0.722052,552,414,2494,0.715268,449,396,2521,0.728488,632,576,2796,0.658363,517,407,2269,0.695815
511,418,2539,0.717281,516,430,2462,0.702628,450,405,2525,0.723549,621,574,2809,0.660656,522,409,2278,0.695571
520,425,2540,0.713322,516,430,2462,0.702628,454,411,2529,0.720408,617,576,2855,0.664238,531,409,2307,0.698822
530,432,2540,0.709287,516,430,2462,0.702628,459,418,2534,0.716802,618,567,2976,0.679932,540,408,2335,0.702515
497,391,2519,0.731272,552,414,2494,0.715268,461,373,2521,0.742225,633,562,2857,0.671249,523,391,2325,0.712077
432,319,2497,0.773438,432,341,2529,0.762369,307,265,2489,0.807553,664,616,2874,0.646991,474,359,2390,0.738814
438,325,2513,0.770965,450,326,2583,0.775868,313,274,2512,0.803302,656,613,2897,0.650712,471,355,2417,0.743867
444,332,2529,0.767913,450,326,2583,0.775868,318,283,2535,0.799148,646,605,2906,0.655369,468,351,2445,0.748927
450,339,2544,0.764828,450,326,2583,0.775868,324,292,2558,0.795088,645,600,2899,0.657045,465,347,2472,0.753813
445,342,2543,0.762912,437,348,2568,0.761317,325,287,2552,0.797816,647,597,2898,0.658369,462,351,2435,0.748026
411,339,2479,0.759404,446,375,2565,0.744898,329,309,2549,0.783765,658,641,2862,0.634028,461,382,2341,0.719427
382,332,2440,0.760462,446,375,2565,0.744898,319,294,2532,0.791932,655,629,2854,0.638817,449,382,2333,0.7186
370,327,2423,0.762182,432,341,2529,0.762369,313,283,2517,0.797857,643,614,2807,0.641041,451,378,2341,0.721957
391,324,2447,0.766149,432,341,2529,0.762369,310,275,2504,0.802087,641,611,2793,0.641011,460,371,2356,0.727906
