 B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B20
1025,1130,1334,0.082792,929,1092,1208,0.050435,896,1106,1533,0.161804,1020,1155,1946,0.255079,1089,1192,1450,0.097653
1073,1186,1373,0.073075,929,1092,1208,0.050435,903,1123,1432,0.120939,1011,1168,1858,0.228024,1121,1246,1428,0.068063
1120,1242,1412,0.064054,929,1092,1208,0.050435,911,1140,1330,0.076923,1028,1204,1811,0.201327,1153,1300,1406,0.039172
1129,1252,1414,0.060765,960,1086,1291,0.086243,929,1137,1285,0.061107,1065,1249,1773,0.173395,1162,1290,1376,0.032258
1057,1171,1343,0.068417,960,1086,1291,0.086243,953,1122,1268,0.061088,1087,1262,1740,0.159227,1159,1247,1342,0.036694
986,1091,1272,0.076598,960,1086,1291,0.086243,978,1108,1251,0.060619,1081,1235,1743,0.170584,1157,1205,1308,0.040987
915,1010,1201,0.086386,960,1086,1291,0.086243,970,1088,1232,0.062069,1045,1204,1785,0.194379,1130,1158,1268,0.045342
931,1028,1212,0.082143,985,1008,1174,0.076077,900,1055,1210,0.068433,988,1180,1801,0.208319,1051,1102,1215,0.04877
947,1046,1222,0.077601,985,1008,1174,0.076077,829,1023,1188,0.074627,979,1171,1783,0.207177,972,1046,1162,0.052536
963,1064,1232,0.073171,985,1008,1174,0.076077,759,991,1166,0.081131,1016,1169,1769,0.204221,894,990,1110,0.057143
1040,1128,1309,0.074272,928,1118,1235,0.049724,804,1022,1206,0.082585,1035,1167,1777,0.207201,973,1078,1195,0.051474
1149,1214,1419,0.077858,928,1118,1235,0.049724,849,1054,1245,0.08308,1039,1188,1811,0.207736,1052,1166,1280,0.046607
1258,1300,1529,0.080947,928,1118,1235,0.049724,894,1085,1285,0.084388,1053,1237,1858,0.200646,1132,1253,1365,0.042781
1312,1340,1705,0.119869,1118,1318,1679,0.120454,959,1149,1397,0.097408,1076,1277,1926,0.202623,1194,1320,1482,0.057816
1260,1290,2010,0.218182,1118,1318,1679,0.120454,1034,1229,1546,0.114234,1058,1192,1927,0.235652,1247,1376,1615,0.079906
1207,1239,2316,0.302954,1118,1318,1679,0.120454,1109,1309,1695,0.128495,1085,1216,2020,0.248455,1300,1432,1748,0.099371
940,1061,1326,0.111018,998,1120,1871,0.251087,887,1080,1573,0.185827,1005,1128,2045,0.289001,1035,1104,1424,0.126582
939,1060,1241,0.078661,929,1092,1208,0.050435,868,1059,1455,0.157518,977,1113,1898,0.260711,1051,1140,1387,0.097744
966,1095,1258,0.069273,929,1092,1208,0.050435,850,1037,1337,0.126369,962,1116,1806,0.23614,1067,1175,1349,0.068938
994,1131,1274,0.059459,929,1092,1208,0.050435,832,1016,1219,0.090828,969,1132,1761,0.217421,1083,1211,1312,0.040032
1006,1139,1274,0.055947,960,1086,1291,0.086243,833,1013,1179,0.07573,987,1148,1729,0.201946,1096,1204,1287,0.03332
988,1093,1239,0.062607,960,1086,1291,0.086243,843,1020,1178,0.071884,999,1152,1715,0.196373,1107,1175,1270,0.038855
970,1046,1204,0.070222,960,1086,1291,0.086243,854,1027,1177,0.068058,1014,1149,1705,0.194814,1118,1146,1252,0.044204
953,1000,1169,0.077916,960,1086,1291,0.086243,851,1030,1179,0.067451,1006,1144,1711,0.198599,1103,1117,1230,0.048147
954,1018,1181,0.074125,985,1008,1174,0.076077,821,1024,1185,0.072884,963,1133,1720,0.205748,1038,1087,1198,0.048578
956,1035,1194,0.071332,985,1008,1174,0.076077,791,1019,1191,0.077828,971,1138,1711,0.201123,972,1057,1167,0.04946
957,1053,1207,0.068142,985,1008,1174,0.076077,761,1013,1197,0.083258,1018,1148,1694,0.192118,906,1027,1136,0.050393
999,1094,1264,0.072095,928,1118,1235,0.049724,790,1008,1204,0.088608,1023,1145,1696,0.193946,957,1077,1186,0.048166
1061,1146,1342,0.078778,928,1118,1235,0.049724,818,1003,1210,0.093538,1005,1144,1758,0.211578,1008,1127,1237,0.046531
1123,1198,1420,0.084798,928,1118,1235,0.049724,846,998,1217,0.098871,1003,1164,1826,0.221405,1058,1176,1287,0.045067
