,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
111,904,1168,2704,0.3966942,2180,2394,3670,0.21042216,1872,2232,3206,0.17910996,2252,2574,3728,0.18311647,2282,2666,3654,0.15632911
112,964,1177,2774,0.40420148,2180,2394,3670,0.21042216,1872,2232,3206,0.17910996,2252,2574,3728,0.18311647,2384,2806,3566,0.119271815
113,969,1202,2893,0.41294262,2180,2394,3670,0.21042216,1872,2232,3206,0.17910996,2252,2574,3728,0.18311647,2384,2806,3566,0.119271815
492,940,1195,2679,0.3830666,2180,2394,3670,0.21042216,1872,2232,3206,0.17910996,2252,2574,3728,0.18311647,2282,2666,3654,0.15632911
493,1000,1206,2732,0.38750634,2180,2394,3670,0.21042216,1872,2232,3206,0.17910996,2252,2574,3728,0.18311647,2384,2806,3566,0.119271815
494,1029,1258,2837,0.3855922,2180,2394,3670,0.21042216,1872,2232,3206,0.17910996,2252,2574,3728,0.18311647,2384,2806,3566,0.119271815
495,1004,1285,2855,0.37922704,2410,2704,4044,0.19857736,2136,2574,3688,0.17789844,2396,2958,4002,0.15,2384,2806,3566,0.119271815
496,1008,1303,2857,0.3735577,2410,2704,4044,0.19857736,2136,2574,3688,0.17789844,2396,2958,4002,0.15,2412,2802,3664,0.13331272
497,1031,1300,2838,0.37167713,2410,2704,4044,0.19857736,2136,2574,3688,0.17789844,2396,2958,4002,0.15,2412,2802,3664,0.13331272
498,1020,1279,2809,0.37426615,2410,2704,4044,0.19857736,2136,2574,3688,0.17789844,2396,2958,4002,0.15,2412,2802,3664,0.13331272
499,991,1296,2845,0.37406424,2378,2882,4284,0.1956461,2306,2776,4208,0.2050401,2378,3040,4308,0.17256397,2412,2802,3664,0.13331272
872,949,1230,2749,0.38175422,2158,2442,3664,0.20013101,2130,2510,3552,0.17189047,2306,2744,3820,0.16392444,2282,2666,3654,0.15632911
873,962,1238,2662,0.36512822,2180,2394,3670,0.21042216,1872,2232,3206,0.17910996,2252,2574,3728,0.18311647,2282,2666,3654,0.15632911
874,985,1252,2705,0.36719736,2180,2394,3670,0.21042216,1872,2232,3206,0.17910996,2252,2574,3728,0.18311647,2384,2806,3566,0.119271815
875,1009,1271,2818,0.3783321,2180,2394,3670,0.21042216,1872,2232,3206,0.17910996,2252,2574,3728,0.18311647,2384,2806,3566,0.119271815
876,1018,1289,2890,0.383106,2410,2704,4044,0.19857736,2136,2574,3688,0.17789844,2396,2958,4002,0.15,2384,2806,3566,0.119271815
877,1012,1335,2830,0.35894358,2410,2704,4044,0.19857736,2136,2574,3688,0.17789844,2396,2958,4002,0.15,2412,2802,3664,0.13331272
878,1035,1372,2823,0.34588796,2410,2704,4044,0.19857736,2136,2574,3688,0.17789844,2396,2958,4002,0.15,2412,2802,3664,0.13331272
879,1055,1353,2805,0.34920636,2410,2704,4044,0.19857736,2136,2574,3688,0.17789844,2396,2958,4002,0.15,2412,2802,3664,0.13331272
880,1042,1314,2826,0.3652174,2378,2882,4284,0.1956461,2306,2776,4208,0.2050401,2378,3040,4308,0.17256397,2412,2802,3664,0.13331272
881,1049,1348,2900,0.3653484,2378,2882,4284,0.1956461,2306,2776,4208,0.2050401,2378,3040,4308,0.17256397,2418,2792,3792,0.15188335
882,1071,1339,2923,0.3716565,2378,2882,4284,0.1956461,2306,2776,4208,0.2050401,2378,3040,4308,0.17256397,2418,2792,3792,0.15188335
883,1042,1289,3021,0.40185615,2620,3204,4364,0.15327695,2390,2740,4228,0.21354765,2656,3216,4520,0.16856256,2418,2792,3792,0.15188335
884,963,1167,3168,0.4615917,2620,3204,4364,0.15327695,2390,2740,4228,0.21354765,2656,3216,4520,0.16856256,2462,2738,3868,0.17105661
1253,953,1228,2724,0.3785425,2224,2626,3478,0.1395806,2130,2510,3552,0.17189047,2344,2884,3598,0.11015119,2282,2666,3654,0.15632911
1254,963,1258,2661,0.3579995,2456,2946,3670,0.109431684,1872,2232,3206,0.17910996,2542,3000,3744,0.110320285,2282,2666,3654,0.15632911
1255,973,1253,2728,0.37050992,2456,2946,3670,0.109431684,1872,2232,3206,0.17910996,2542,3000,3744,0.110320285,2384,2806,3566,0.119271815
1256,989,1264,2842,0.38431564,2456,2946,3670,0.109431684,1872,2232,3206,0.17910996,2542,3000,3744,0.110320285,2384,2806,3566,0.119271815
1257,1001,1280,2907,0.38858372,2750,3374,4260,0.116059735,2136,2574,3688,0.17789844,2728,3186,4094,0.124725275,2384,2806,3566,0.119271815
1258,985,1318,2799,0.35972795,2750,3374,4260,0.116059735,2136,2574,3688,0.17789844,2728,3186,4094,0.124725275,2412,2802,3664,0.13331272
1259,996,1412,2860,0.33895132,2750,3374,4260,0.116059735,2136,2574,3688,0.17789844,2728,3186,4094,0.124725275,2412,2802,3664,0.13331272
1260,1042,1410,2878,0.34235075,2750,3374,4260,0.116059735,2136,2574,3688,0.17789844,2728,3186,4094,0.124725275,2412,2802,3664,0.13331272
1261,1077,1355,2855,0.35629454,2874,3382,4468,0.13834395,2306,2776,4208,0.2050401,2754,3136,4220,0.1473627,2412,2802,3664,0.13331272
1262,1062,1396,2903,0.35054663,2874,3382,4468,0.13834395,2306,2776,4208,0.2050401,2754,3136,4220,0.1473627,2418,2792,3792,0.15188335
1263,1082,1392,2955,0.3595583,2874,3382,4468,0.13834395,2306,2776,4208,0.2050401,2754,3136,4220,0.1473627,2418,2792,3792,0.15188335
1264,1054,1279,3020,0.4049779,2324,2576,4022,0.21915732,2390,2740,4228,0.21354765,2438,2862,4200,0.18946475,2418,2792,3792,0.15188335
1633,940,1241,2595,0.35297185,2224,2626,3478,0.1395806,1940,2332,3134,0.14672521,2344,2884,3598,0.11015119,2312,2762,3518,0.12038217
1634,940,1243,2640,0.35977337,2224,2626,3478,0.1395806,1940,2332,3134,0.14672521,2344,2884,3598,0.11015119,2312,2762,3518,0.12038217
1635,952,1238,2742,0.37788945,2456,2946,3670,0.109431684,2005,2458,3040,0.10585667,2542,3000,3744,0.110320285,2312,2762,3518,0.12038217
1636,961,1239,2772,0.38219896,2456,2946,3670,0.109431684,2005,2458,3040,0.10585667,2542,3000,3744,0.110320285,2488,3024,3536,0.07804878
1637,970,1276,2829,0.3783191,2456,2946,3670,0.109431684,2005,2458,3040,0.10585667,2542,3000,3744,0.110320285,2488,3024,3536,0.07804878
1638,975,1294,2901,0.3830751,2750,3374,4260,0.116059735,2338,2976,3590,0.09351203,2728,3186,4094,0.124725275,2488,3024,3536,0.07804878
1639,981,1317,2906,0.3762728,2750,3374,4260,0.116059735,2338,2976,3590,0.09351203,2728,3186,4094,0.124725275,2506,3042,3636,0.088948786
1640,993,1392,2910,0.35285914,2750,3374,4260,0.116059735,2338,2976,3590,0.09351203,2728,3186,4094,0.124725275,2506,3042,3636,0.088948786
1641,1029,1376,2890,0.3548992,2750,3374,4260,0.116059735,2338,2976,3590,0.09351203,2728,3186,4094,0.124725275,2506,3042,3636,0.088948786
1642,1066,1361,2879,0.35801888,2874,3382,4468,0.13834395,2674,3396,4112,0.09536494,2754,3136,4220,0.1473627,2506,3042,3636,0.088948786
1643,1059,1405,2927,0.35133886,2874,3382,4468,0.13834395,2674,3396,4112,0.09536494,2754,3136,4220,0.1473627,2504,3026,3678,0.09725537
1644,1048,1458,3194,0.37317282,2874,3382,4468,0.13834395,2674,3396,4112,0.09536494,2754,3136,4220,0.1473627,2504,3026,3678,0.09725537
1645,1019,1278,3298,0.44143358,2324,2576,4022,0.21915732,2100,2572,3942,0.21031624,2438,2862,4200,0.18946475,2504,3026,3678,0.09725537
2014,930,1266,2677,0.35784936,2224,2626,3478,0.1395806,1940,2332,3134,0.14672521,2344,2884,3598,0.11015119,2312,2762,3518,0.12038217
2015,938,1252,2656,0.35926306,2224,2626,3478,0.1395806,1940,2332,3134,0.14672521,2344,2884,3598,0.11015119,2312,2762,3518,0.12038217
2016,944,1229,2742,0.38101235,2456,2946,3670,0.109431684,2005,2458,3040,0.10585667,2542,3000,3744,0.110320285,2312,2762,3518,0.12038217
2017,953,1237,2765,0.3818091,2456,2946,3670,0.109431684,2005,2458,3040,0.10585667,2542,3000,3744,0.110320285,2488,3024,3536,0.07804878
2018,975,1304,2727,0.35301414,2456,2946,3670,0.109431684,2005,2458,3040,0.10585667,2542,3000,3744,0.110320285,2488,3024,3536,0.07804878
2019,962,1255,2812,0.38283747,2750,3374,4260,0.116059735,2338,2976,3590,0.09351203,2728,3186,4094,0.124725275,2488,3024,3536,0.07804878
2020,966,1259,2877,0.39119923,2750,3374,4260,0.116059735,2338,2976,3590,0.09351203,2728,3186,4094,0.124725275,2506,3042,3636,0.088948786
2021,993,1349,2864,0.35960123,2750,3374,4260,0.116059735,2338,2976,3590,0.09351203,2728,3186,4094,0.124725275,2506,3042,3636,0.088948786
2022,1006,1319,2872,0.37055597,2750,3374,4260,0.116059735,2338,2976,3590,0.09351203,2728,3186,4094,0.124725275,2506,3042,3636,0.088948786
2023,1026,1321,2916,0.3764456,2874,3382,4468,0.13834395,2674,3396,4112,0.09536494,2754,3136,4220,0.1473627,2506,3042,3636,0.088948786
2024,1046,1340,2945,0.3745624,2874,3382,4468,0.13834395,2674,3396,4112,0.09536494,2754,3136,4220,0.1473627,2504,3026,3678,0.09725537
2025,1030,1343,2989,0.37996307,2874,3382,4468,0.13834395,2674,3396,4112,0.09536494,2754,3136,4220,0.1473627,2504,3026,3678,0.09725537
2026,970,1170,3222,0.46721312,2324,2576,4022,0.21915732,2100,2572,3942,0.21031624,2438,2862,4200,0.18946475,2504,3026,3678,0.09725537
2396,947,1262,2610,0.3481405,2242,2674,3362,0.11398277,1940,2332,3134,0.14672521,2260,2770,3444,0.108464755,2312,2762,3518,0.12038217
2397,941,1238,2613,0.35705012,2356,2850,3526,0.10602258,2005,2458,3040,0.10585667,2382,2830,3542,0.11173886,2312,2762,3518,0.12038217
2398,943,1212,2688,0.37846154,2356,2850,3526,0.10602258,2005,2458,3040,0.10585667,2382,2830,3542,0.11173886,2488,3024,3536,0.07804878
2399,960,1242,2728,0.3743073,2356,2850,3526,0.10602258,2005,2458,3040,0.10585667,2382,2830,3542,0.11173886,2488,3024,3536,0.07804878
2400,949,1232,2780,0.38584247,2548,3108,3942,0.118297875,2338,2976,3590,0.09351203,2504,3114,3786,0.09739131,2488,3024,3536,0.07804878
2401,958,1251,2797,0.381917,2548,3108,3942,0.118297875,2338,2976,3590,0.09351203,2504,3114,3786,0.09739131,2506,3042,3636,0.088948786
2402,991,1308,2792,0.36195123,2548,3108,3942,0.118297875,2338,2976,3590,0.09351203,2504,3114,3786,0.09739131,2506,3042,3636,0.088948786
2403,1000,1273,2841,0.38113758,2548,3108,3942,0.118297875,2338,2976,3590,0.09351203,2504,3114,3786,0.09739131,2506,3042,3636,0.088948786
2404,961,1280,2882,0.3849111,2614,3270,4090,0.11141305,2674,3396,4112,0.09536494,2708,3176,3990,0.11359196,2506,3042,3636,0.088948786
2405,973,1275,2856,0.38271606,2614,3270,4090,0.11141305,2674,3396,4112,0.09536494,2708,3176,3990,0.11359196,2504,3026,3678,0.09725537
2406,975,1220,2888,0.406037,2614,3270,4090,0.11141305,2674,3396,4112,0.09536494,2708,3176,3990,0.11359196,2504,3026,3678,0.09725537
2407,898,1060,3227,0.50548166,2240,2566,4152,0.23608217,2100,2572,3942,0.21031624,2510,2996,4160,0.1626607,2504,3026,3678,0.09725537
2783,970,1266,2745,0.36873597,2548,3108,3942,0.118297875,2048,2558,3254,0.119752236,2504,3114,3786,0.09739131,2438,2920,3576,0.10098522
2784,967,1253,2783,0.3790882,2548,3108,3942,0.118297875,2048,2558,3254,0.119752236,2504,3114,3786,0.09739131,2438,2920,3576,0.10098522
2785,889,1207,2782,0.3948358,2614,3270,4090,0.11141305,2158,2602,3424,0.1364089,2708,3176,3990,0.11359196,2438,2920,3576,0.10098522
2786,890,1145,2728,0.40872708,2614,3270,4090,0.11141305,2158,2602,3424,0.1364089,2708,3176,3990,0.11359196,2448,2964,3600,0.09689214
2787,884,1067,2919,0.4646262,2614,3270,4090,0.11141305,2158,2602,3424,0.1364089,2708,3176,3990,0.11359196,2448,2964,3600,0.09689214
10764,768,947,2551,0.45854774,1874,1846,4232,0.39256334,1858,2008,4090,0.34142342,1833,1952,4712,0.41416568,2094,2230,3814,0.2620781
10765,765,915,2595,0.47863248,1874,1846,4232,0.39256334,1858,2008,4090,0.34142342,1833,1952,4712,0.41416568,2094,2230,3814,0.2620781
10766,758,909,2514,0.46888694,1856,1831,4232,0.39600858,1842,1998,4152,0.3502439,1899,2010,4712,0.4019637,2094,2230,3814,0.2620781
10767,734,926,2419,0.44633782,1856,1831,4232,0.39600858,1842,1998,4152,0.3502439,1899,2010,4712,0.4019637,2158,2354,3862,0.24259974
