,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
413,590.0,404.0,3121.0,0.77078015,1623.0,1396.0,4152.0,0.4967556,1674.0,1602.0,3932.0,0.42103362,1748.0,1640.0,3692.0,0.3848462,1532.0,1376.0,4508.0,0.53229094
414,575.0,425.0,3071.0,0.75686496,1623.0,1396.0,4152.0,0.4967556,1674.0,1602.0,3932.0,0.42103362,1748.0,1640.0,3692.0,0.3848462,1526.0,1338.0,4744.0,0.5600132
415,550.0,427.0,2995.0,0.75043833,1623.0,1396.0,4152.0,0.4967556,1674.0,1602.0,3932.0,0.42103362,1748.0,1640.0,3692.0,0.3848462,1526.0,1338.0,4744.0,0.5600132
416,503.0,389.0,2824.0,0.7578587,1473.0,1382.0,3362.0,0.4173693,1596.0,1608.0,3116.0,0.319221,1670.0,1683.0,3276.0,0.3212341,1526.0,1338.0,4744.0,0.5600132
1126,572.0,412.0,3308.0,0.7784946,1511.0,1305.0,4396.0,0.5421856,1497.0,1466.0,3998.0,0.4633968,1722.0,1606.0,3980.0,0.42499104,1532.0,1376.0,4508.0,0.53229094
1127,576.0,431.0,3221.0,0.76396495,1511.0,1305.0,4396.0,0.5421856,1497.0,1466.0,3998.0,0.4633968,1722.0,1606.0,3980.0,0.42499104,1532.0,1376.0,4508.0,0.53229094
1128,576.0,441.0,3171.0,0.75581396,1511.0,1305.0,4396.0,0.5421856,1497.0,1466.0,3998.0,0.4633968,1722.0,1606.0,3980.0,0.42499104,1532.0,1376.0,4508.0,0.53229094
1129,573.0,426.0,3141.0,0.7611438,1623.0,1396.0,4152.0,0.4967556,1674.0,1602.0,3932.0,0.42103362,1748.0,1640.0,3692.0,0.3848462,1532.0,1376.0,4508.0,0.53229094
1130,556.0,403.0,3052.0,0.76671493,1623.0,1396.0,4152.0,0.4967556,1674.0,1602.0,3932.0,0.42103362,1748.0,1640.0,3692.0,0.3848462,1526.0,1338.0,4744.0,0.5600132
1131,536.0,406.0,2929.0,0.75652176,1623.0,1396.0,4152.0,0.4967556,1674.0,1602.0,3932.0,0.42103362,1748.0,1640.0,3692.0,0.3848462,1526.0,1338.0,4744.0,0.5600132
1132,483.0,376.0,2731.0,0.75796586,1473.0,1382.0,3362.0,0.4173693,1596.0,1608.0,3116.0,0.319221,1670.0,1683.0,3276.0,0.3212341,1526.0,1338.0,4744.0,0.5600132
1842,576.0,441.0,3296.0,0.7639818,1511.0,1305.0,4396.0,0.5421856,1497.0,1466.0,3998.0,0.4633968,1722.0,1606.0,3980.0,0.42499104,1532.0,1376.0,4508.0,0.53229094
1843,571.0,451.0,3068.0,0.7436772,1511.0,1305.0,4396.0,0.5421856,1497.0,1466.0,3998.0,0.4633968,1722.0,1606.0,3980.0,0.42499104,1532.0,1376.0,4508.0,0.53229094
1844,561.0,481.0,3073.0,0.7293191,1511.0,1305.0,4396.0,0.5421856,1497.0,1466.0,3998.0,0.4633968,1722.0,1606.0,3980.0,0.42499104,1532.0,1376.0,4508.0,0.53229094
1845,551.0,462.0,3022.0,0.7347876,1623.0,1396.0,4152.0,0.4967556,1674.0,1602.0,3932.0,0.42103362,1748.0,1640.0,3692.0,0.3848462,1532.0,1376.0,4508.0,0.53229094
1846,541.0,393.0,2884.0,0.7601465,1623.0,1396.0,4152.0,0.4967556,1674.0,1602.0,3932.0,0.42103362,1748.0,1640.0,3692.0,0.3848462,1526.0,1338.0,4744.0,0.5600132
1847,518.0,403.0,2770.0,0.7459817,1623.0,1396.0,4152.0,0.4967556,1674.0,1602.0,3932.0,0.42103362,1748.0,1640.0,3692.0,0.3848462,1526.0,1338.0,4744.0,0.5600132
1848,473.0,376.0,2620.0,0.74899864,1473.0,1382.0,3362.0,0.4173693,1596.0,1608.0,3116.0,0.319221,1670.0,1683.0,3276.0,0.3212341,1526.0,1338.0,4744.0,0.5600132
2558,572.0,434.0,3181.0,0.75988936,1598.0,1410.0,4132.0,0.49115843,1497.0,1466.0,3998.0,0.4633968,1746.0,1659.0,3916.0,0.40484306,1532.0,1376.0,4508.0,0.53229094
2559,570.0,429.0,2895.0,0.74187726,1598.0,1410.0,4132.0,0.49115843,1497.0,1466.0,3998.0,0.4633968,1746.0,1659.0,3916.0,0.40484306,1532.0,1376.0,4508.0,0.53229094
2560,563.0,431.0,3001.0,0.7488345,1598.0,1410.0,4132.0,0.49115843,1497.0,1466.0,3998.0,0.4633968,1746.0,1659.0,3916.0,0.40484306,1532.0,1376.0,4508.0,0.53229094
2561,555.0,417.0,3032.0,0.75819075,1630.0,1463.0,4022.0,0.46654513,1674.0,1602.0,3932.0,0.42103362,1736.0,1700.0,3776.0,0.37910885,1532.0,1376.0,4508.0,0.53229094
2562,540.0,390.0,2900.0,0.76291794,1630.0,1463.0,4022.0,0.46654513,1674.0,1602.0,3932.0,0.42103362,1736.0,1700.0,3776.0,0.37910885,1526.0,1338.0,4744.0,0.5600132
2563,513.0,401.0,2682.0,0.73986375,1630.0,1463.0,4022.0,0.46654513,1674.0,1602.0,3932.0,0.42103362,1736.0,1700.0,3776.0,0.37910885,1526.0,1338.0,4744.0,0.5600132
2564,483.0,371.0,2549.0,0.74589044,1474.0,1396.0,3404.0,0.41833332,1596.0,1608.0,3116.0,0.319221,1658.0,1675.0,3408.0,0.3409404,1526.0,1338.0,4744.0,0.5600132
3274,572.0,416.0,3083.0,0.76221776,1598.0,1410.0,4132.0,0.49115843,1641.0,1592.0,4228.0,0.45292097,1746.0,1659.0,3916.0,0.40484306,1636.0,1522.0,4112.0,0.4597089
3275,576.0,432.0,3006.0,0.7486911,1598.0,1410.0,4132.0,0.49115843,1641.0,1592.0,4228.0,0.45292097,1746.0,1659.0,3916.0,0.40484306,1636.0,1522.0,4112.0,0.4597089
3276,572.0,429.0,3064.0,0.75436586,1598.0,1410.0,4132.0,0.49115843,1641.0,1592.0,4228.0,0.45292097,1746.0,1659.0,3916.0,0.40484306,1636.0,1522.0,4112.0,0.4597089
3277,566.0,423.0,3011.0,0.75364006,1630.0,1463.0,4022.0,0.46654513,1771.0,1684.0,4148.0,0.42249656,1736.0,1700.0,3776.0,0.37910885,1636.0,1522.0,4112.0,0.4597089
