,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
486,831.0,836.0,3320.0,0.5976901,1790.0,1791.0,4228.0,0.40488455,1622.0,1594.0,4964.0,0.5138762,1791.0,1892.0,4640.0,0.4206981,1778.0,1690.0,4772.0,0.47694212
487,824.0,847.0,3280.0,0.5895324,1790.0,1791.0,4228.0,0.40488455,1622.0,1594.0,4964.0,0.5138762,1791.0,1892.0,4640.0,0.4206981,1778.0,1690.0,4772.0,0.47694212
488,808.0,841.0,3186.0,0.5823193,1959.0,2044.0,4144.0,0.33936653,1736.0,1736.0,4864.0,0.4739394,1916.0,2168.0,4540.0,0.35360762,1778.0,1690.0,4772.0,0.47694212
489,819.0,842.0,3076.0,0.5701889,1959.0,2044.0,4144.0,0.33936653,1736.0,1736.0,4864.0,0.4739394,1916.0,2168.0,4540.0,0.35360762,1856.0,1796.0,4752.0,0.45143557
490,821.0,865.0,3091.0,0.5626896,1959.0,2044.0,4144.0,0.33936653,1736.0,1736.0,4864.0,0.4739394,1916.0,2168.0,4540.0,0.35360762,1856.0,1796.0,4752.0,0.45143557
491,827.0,881.0,3014.0,0.5476252,1938.0,2080.0,3852.0,0.2987188,1764.0,1811.0,4556.0,0.43112925,1980.0,2252.0,4276.0,0.31004903,1856.0,1796.0,4752.0,0.45143557
492,827.0,883.0,2956.0,0.53998435,1938.0,2080.0,3852.0,0.2987188,1764.0,1811.0,4556.0,0.43112925,1980.0,2252.0,4276.0,0.31004903,1920.0,1917.0,4544.0,0.4065934
493,825.0,895.0,2935.0,0.53263706,1938.0,2080.0,3852.0,0.2987188,1764.0,1811.0,4556.0,0.43112925,1980.0,2252.0,4276.0,0.31004903,1920.0,1917.0,4544.0,0.4065934
494,822.0,844.0,3006.0,0.5615584,1938.0,2080.0,3852.0,0.2987188,1764.0,1811.0,4556.0,0.43112925,1980.0,2252.0,4276.0,0.31004903,1920.0,1917.0,4544.0,0.4065934
495,821.0,862.0,2922.0,0.5443975,1956.0,2164.0,3764.0,0.26990554,1846.0,1948.0,4488.0,0.39465508,2018.0,2268.0,4184.0,0.29696217,1920.0,1917.0,4544.0,0.4065934
496,822.0,879.0,2899.0,0.5346744,1956.0,2164.0,3764.0,0.26990554,1846.0,1948.0,4488.0,0.39465508,2018.0,2268.0,4184.0,0.29696217,2006.0,2008.0,4560.0,0.38855055
497,822.0,888.0,2973.0,0.5400155,1956.0,2164.0,3764.0,0.26990554,1846.0,1948.0,4488.0,0.39465508,2018.0,2268.0,4184.0,0.29696217,2006.0,2008.0,4560.0,0.38855055
498,818.0,853.0,3066.0,0.56468487,1936.0,2198.0,3850.0,0.27314815,1846.0,1980.0,4584.0,0.39670932,2036.0,2318.0,4240.0,0.29307717,2006.0,2008.0,4560.0,0.38855055
499,800.0,832.0,3023.0,0.56835276,1936.0,2198.0,3850.0,0.27314815,1846.0,1980.0,4584.0,0.39670932,2036.0,2318.0,4240.0,0.29307717,1991.0,2046.0,4556.0,0.3801878
500,786.0,827.0,2960.0,0.5632427,1936.0,2198.0,3850.0,0.27314815,1846.0,1980.0,4584.0,0.39670932,2036.0,2318.0,4240.0,0.29307717,1991.0,2046.0,4556.0,0.3801878
501,793.0,832.0,3007.0,0.5665538,1954.0,2148.0,3806.0,0.27846825,1850.0,1910.0,4672.0,0.4196293,2038.0,2360.0,4196.0,0.28004882,1991.0,2046.0,4556.0,0.3801878
502,779.0,765.0,3026.0,0.59641254,1954.0,2148.0,3806.0,0.27846825,1850.0,1910.0,4672.0,0.4196293,2038.0,2360.0,4196.0,0.28004882,2010.0,2011.0,4476.0,0.37999076
503,766.0,732.0,2932.0,0.6004367,1954.0,2148.0,3806.0,0.27846825,1850.0,1910.0,4672.0,0.4196293,2038.0,2360.0,4196.0,0.28004882,2010.0,2011.0,4476.0,0.37999076
504,730.0,728.0,2797.0,0.58695036,1954.0,2148.0,3806.0,0.27846825,1850.0,1910.0,4672.0,0.4196293,2038.0,2360.0,4196.0,0.28004882,2010.0,2011.0,4476.0,0.37999076
505,624.0,682.0,2575.0,0.5812097,1728.0,1869.0,3610.0,0.3177587,1719.0,1746.0,4156.0,0.40833616,1746.0,2082.0,3908.0,0.3048414,2010.0,2011.0,4476.0,0.37999076
506,490.0,470.0,2764.0,0.7093383,1728.0,1869.0,3610.0,0.3177587,1719.0,1746.0,4156.0,0.40833616,1746.0,2082.0,3908.0,0.3048414,1886.0,1863.0,4090.0,0.37409708
1658,803.0,756.0,3350.0,0.6317584,1790.0,1791.0,4228.0,0.40488455,1622.0,1594.0,4964.0,0.5138762,1791.0,1892.0,4640.0,0.4206981,1600.0,1514.0,4220.0,0.47192186
