,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
4259,812.0,859.0,2636.0,0.5084406,1753.0,1596.0,3900.0,0.41921398,1864.0,1749.0,4728.0,0.45993516,1812.0,1662.0,5028.0,0.503139,1888.0,1626.0,5384.0,0.5360913
6401,835.0,876.0,2701.0,0.5102041,1753.0,1596.0,3900.0,0.41921398,1846.0,1670.0,5000.0,0.49925038,1812.0,1662.0,5028.0,0.503139,1883.0,1557.0,5672.0,0.569235
6402,801.0,870.0,2634.0,0.50342464,1753.0,1596.0,3900.0,0.41921398,1846.0,1670.0,5000.0,0.49925038,1812.0,1662.0,5028.0,0.503139,1883.0,1557.0,5672.0,0.569235
6403,815.0,868.0,2509.0,0.48593426,1748.0,1624.0,3872.0,0.40902475,1795.0,1578.0,4912.0,0.5137134,1788.0,1658.0,4984.0,0.5007528,1883.0,1557.0,5672.0,0.569235
8544,830.0,883.0,2612.0,0.49470672,1753.0,1596.0,3900.0,0.41921398,1846.0,1670.0,5000.0,0.49925038,1812.0,1662.0,5028.0,0.503139,1883.0,1557.0,5672.0,0.569235
8545,818.0,878.0,2641.0,0.5009946,1753.0,1596.0,3900.0,0.41921398,1846.0,1670.0,5000.0,0.49925038,1812.0,1662.0,5028.0,0.503139,1883.0,1557.0,5672.0,0.569235
8546,803.0,880.0,2606.0,0.49512336,1748.0,1624.0,3872.0,0.40902475,1795.0,1578.0,4912.0,0.5137134,1788.0,1658.0,4984.0,0.5007528,1883.0,1557.0,5672.0,0.569235
8547,816.0,881.0,2497.0,0.4783896,1748.0,1624.0,3872.0,0.40902475,1795.0,1578.0,4912.0,0.5137134,1788.0,1658.0,4984.0,0.5007528,1877.0,1595.0,5568.0,0.55465585
10687,817.0,892.0,2586.0,0.48706153,1776.0,1610.0,4050.0,0.4310954,1846.0,1670.0,5000.0,0.49925038,1776.0,1642.0,5116.0,0.5140574,1883.0,1557.0,5672.0,0.569235
10688,811.0,879.0,2608.0,0.4958417,1776.0,1610.0,4050.0,0.4310954,1846.0,1670.0,5000.0,0.49925038,1776.0,1642.0,5116.0,0.5140574,1883.0,1557.0,5672.0,0.569235
10689,808.0,885.0,2594.0,0.4912331,1745.0,1614.0,3902.0,0.41479334,1795.0,1578.0,4912.0,0.5137134,1788.0,1692.0,4980.0,0.49280575,1883.0,1557.0,5672.0,0.569235
10690,810.0,887.0,2563.0,0.4857971,1745.0,1614.0,3902.0,0.41479334,1795.0,1578.0,4912.0,0.5137134,1788.0,1692.0,4980.0,0.49280575,1877.0,1595.0,5568.0,0.55465585
10691,808.0,861.0,2575.0,0.49883586,1745.0,1614.0,3902.0,0.41479334,1795.0,1578.0,4912.0,0.5137134,1788.0,1692.0,4980.0,0.49280575,1877.0,1595.0,5568.0,0.55465585
12830,815.0,888.0,2601.0,0.49097162,1776.0,1610.0,4050.0,0.4310954,1827.0,1640.0,5132.0,0.5156527,1776.0,1642.0,5116.0,0.5140574,1850.0,1558.0,5764.0,0.5744332
12831,812.0,867.0,2601.0,0.5,1776.0,1610.0,4050.0,0.4310954,1827.0,1640.0,5132.0,0.5156527,1776.0,1642.0,5116.0,0.5140574,1850.0,1558.0,5764.0,0.5744332
12832,815.0,888.0,2608.0,0.49199083,1745.0,1614.0,3902.0,0.41479334,1826.0,1642.0,4884.0,0.4967821,1788.0,1692.0,4980.0,0.49280575,1850.0,1558.0,5764.0,0.5744332
12833,814.0,889.0,2586.0,0.48834532,1745.0,1614.0,3902.0,0.41479334,1826.0,1642.0,4884.0,0.4967821,1788.0,1692.0,4980.0,0.49280575,1862.0,1595.0,5440.0,0.54655296
12834,810.0,861.0,2526.0,0.49158546,1745.0,1614.0,3902.0,0.41479334,1826.0,1642.0,4884.0,0.4967821,1788.0,1692.0,4980.0,0.49280575,1862.0,1595.0,5440.0,0.54655296
14973,817.0,869.0,2639.0,0.504561,1776.0,1610.0,4050.0,0.4310954,1827.0,1640.0,5132.0,0.5156527,1776.0,1642.0,5116.0,0.5140574,1850.0,1558.0,5764.0,0.5744332
14974,817.0,849.0,2613.0,0.50953203,1776.0,1610.0,4050.0,0.4310954,1827.0,1640.0,5132.0,0.5156527,1776.0,1642.0,5116.0,0.5140574,1850.0,1558.0,5764.0,0.5744332
14975,823.0,910.0,2573.0,0.47746196,1745.0,1614.0,3902.0,0.41479334,1826.0,1642.0,4884.0,0.4967821,1788.0,1692.0,4980.0,0.49280575,1850.0,1558.0,5764.0,0.5744332
14976,821.0,903.0,2563.0,0.47893825,1745.0,1614.0,3902.0,0.41479334,1826.0,1642.0,4884.0,0.4967821,1788.0,1692.0,4980.0,0.49280575,1862.0,1595.0,5440.0,0.54655296
17115,817.0,890.0,2665.0,0.49929675,1774.0,1622.0,3998.0,0.4227758,1827.0,1640.0,5132.0,0.5156527,1795.0,1647.0,5068.0,0.50945646,1850.0,1558.0,5764.0,0.5744332
17116,818.0,858.0,2663.0,0.51263845,1774.0,1622.0,3998.0,0.4227758,1827.0,1640.0,5132.0,0.5156527,1795.0,1647.0,5068.0,0.50945646,1850.0,1558.0,5764.0,0.5744332
17117,821.0,831.0,2617.0,0.5179814,1774.0,1622.0,3998.0,0.4227758,1827.0,1640.0,5132.0,0.5156527,1795.0,1647.0,5068.0,0.50945646,1850.0,1558.0,5764.0,0.5744332
17118,830.0,863.0,2545.0,0.4935446,1773.0,1686.0,3850.0,0.39089596,1826.0,1642.0,4884.0,0.4967821,1875.0,1687.0,4884.0,0.48653173,1850.0,1558.0,5764.0,0.5744332
17119,825.0,901.0,2569.0,0.48069164,1773.0,1686.0,3850.0,0.39089596,1826.0,1642.0,4884.0,0.4967821,1875.0,1687.0,4884.0,0.48653173,1862.0,1595.0,5440.0,0.54655296
19258,816.0,875.0,2665.0,0.50564975,1774.0,1622.0,3998.0,0.4227758,1836.0,1680.0,5084.0,0.5032525,1795.0,1647.0,5068.0,0.50945646,1818.0,1598.0,5684.0,0.5611096
19259,840.0,868.0,2680.0,0.51071024,1774.0,1622.0,3998.0,0.4227758,1836.0,1680.0,5084.0,0.5032525,1795.0,1647.0,5068.0,0.50945646,1818.0,1598.0,5684.0,0.5611096
19260,840.0,848.0,2616.0,0.5103926,1774.0,1622.0,3998.0,0.4227758,1836.0,1680.0,5084.0,0.5032525,1795.0,1647.0,5068.0,0.50945646,1818.0,1598.0,5684.0,0.5611096
19261,835.0,841.0,2538.0,0.5022196,1773.0,1686.0,3850.0,0.39089596,1832.0,1718.0,4632.0,0.45889765,1875.0,1687.0,4884.0,0.48653173,1818.0,1598.0,5684.0,0.5611096
19262,823.0,915.0,2576.0,0.4757949,1773.0,1686.0,3850.0,0.39089596,1832.0,1718.0,4632.0,0.45889765,1875.0,1687.0,4884.0,0.48653173,1820.0,1626.0,5376.0,0.53556126
21401,813.0,877.0,2620.0,0.4984272,1774.0,1622.0,3998.0,0.4227758,1836.0,1680.0,5084.0,0.5032525,1795.0,1647.0,5068.0,0.50945646,1818.0,1598.0,5684.0,0.5611096
21402,843.0,888.0,2686.0,0.5030778,1774.0,1622.0,3998.0,0.4227758,1836.0,1680.0,5084.0,0.5032525,1795.0,1647.0,5068.0,0.50945646,1818.0,1598.0,5684.0,0.5611096
21403,849.0,908.0,2622.0,0.4855524,1774.0,1622.0,3998.0,0.4227758,1836.0,1680.0,5084.0,0.5032525,1795.0,1647.0,5068.0,0.50945646,1818.0,1598.0,5684.0,0.5611096
21404,823.0,900.0,2546.0,0.47765526,1773.0,1686.0,3850.0,0.39089596,1832.0,1718.0,4632.0,0.45889765,1875.0,1687.0,4884.0,0.48653173,1818.0,1598.0,5684.0,0.5611096
21405,789.0,876.0,2536.0,0.48651817,1773.0,1686.0,3850.0,0.39089596,1832.0,1718.0,4632.0,0.45889765,1875.0,1687.0,4884.0,0.48653173,1820.0,1626.0,5376.0,0.53556126
23544,804.0,881.0,2596.0,0.4932413,1774.0,1622.0,3998.0,0.4227758,1836.0,1680.0,5084.0,0.5032525,1795.0,1647.0,5068.0,0.50945646,1818.0,1598.0,5684.0,0.5611096
23545,808.0,887.0,2688.0,0.50377625,1774.0,1622.0,3998.0,0.4227758,1836.0,1680.0,5084.0,0.5032525,1795.0,1647.0,5068.0,0.50945646,1818.0,1598.0,5684.0,0.5611096
23546,823.0,898.0,2673.0,0.49705964,1774.0,1622.0,3998.0,0.4227758,1836.0,1680.0,5084.0,0.5032525,1795.0,1647.0,5068.0,0.50945646,1818.0,1598.0,5684.0,0.5611096
23547,823.0,889.0,2657.0,0.49858996,1773.0,1686.0,3850.0,0.39089596,1832.0,1718.0,4632.0,0.45889765,1875.0,1687.0,4884.0,0.48653173,1818.0,1598.0,5684.0,0.5611096
23548,801.0,867.0,2593.0,0.49884394,1773.0,1686.0,3850.0,0.39089596,1832.0,1718.0,4632.0,0.45889765,1875.0,1687.0,4884.0,0.48653173,1820.0,1626.0,5376.0,0.53556126
25687,820.0,879.0,2620.0,0.49757072,1778.0,1657.0,3964.0,0.4104252,1836.0,1680.0,5084.0,0.5032525,1835.0,1648.0,4992.0,0.5036145,1818.0,1598.0,5684.0,0.5611096
25688,817.0,882.0,2646.0,0.5,1778.0,1657.0,3964.0,0.4104252,1836.0,1680.0,5084.0,0.5032525,1835.0,1648.0,4992.0,0.5036145,1818.0,1598.0,5684.0,0.5611096
