,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
2837,822.0,982.0,2620.0,0.45474735,2032.0,2164.0,3518.0,0.23829637,2074.0,2202.0,4164.0,0.30819982,1888.0,1803.0,3800.0,0.3564162,1756.0,1496.0,4888.0,0.5313283
2838,829.0,965.0,2663.0,0.46802646,1908.0,2046.0,3430.0,0.25273922,1937.0,2032.0,3614.0,0.28019837,1834.0,1856.0,3424.0,0.2969697,1756.0,1496.0,4888.0,0.5313283
2839,812.0,949.0,2675.0,0.4762693,1908.0,2046.0,3430.0,0.25273922,1937.0,2032.0,3614.0,0.28019837,1834.0,1856.0,3424.0,0.2969697,1746.0,1594.0,4060.0,0.4361514
2840,769.0,931.0,2673.0,0.48335183,1908.0,2046.0,3430.0,0.25273922,1937.0,2032.0,3614.0,0.28019837,1834.0,1856.0,3424.0,0.2969697,1746.0,1594.0,4060.0,0.4361514
4272,818.0,1005.0,2492.0,0.42522162,2032.0,2164.0,3518.0,0.23829637,2170.0,2272.0,4124.0,0.28955597,1888.0,1803.0,3800.0,0.3564162,1828.0,1545.0,4728.0,0.50741273
4273,792.0,998.0,2662.0,0.4546448,1908.0,2046.0,3430.0,0.25273922,2058.0,2248.0,3888.0,0.2672751,1834.0,1856.0,3424.0,0.2969697,1828.0,1545.0,4728.0,0.50741273
4274,802.0,994.0,2671.0,0.45757163,1908.0,2046.0,3430.0,0.25273922,2058.0,2248.0,3888.0,0.2672751,1834.0,1856.0,3424.0,0.2969697,1740.0,1532.0,4396.0,0.4831309
4275,805.0,993.0,2628.0,0.45153272,1908.0,2046.0,3430.0,0.25273922,2058.0,2248.0,3888.0,0.2672751,1834.0,1856.0,3424.0,0.2969697,1740.0,1532.0,4396.0,0.4831309
5707,835.0,1030.0,2571.0,0.42793667,2032.0,2164.0,3518.0,0.23829637,2170.0,2272.0,4124.0,0.28955597,1888.0,1803.0,3800.0,0.3564162,1828.0,1545.0,4728.0,0.50741273
5708,780.0,1028.0,2669.0,0.4438734,1908.0,2046.0,3430.0,0.25273922,2058.0,2248.0,3888.0,0.2672751,1834.0,1856.0,3424.0,0.2969697,1828.0,1545.0,4728.0,0.50741273
5709,802.0,1036.0,2642.0,0.43665037,1908.0,2046.0,3430.0,0.25273922,2058.0,2248.0,3888.0,0.2672751,1834.0,1856.0,3424.0,0.2969697,1740.0,1532.0,4396.0,0.4831309
5710,836.0,1045.0,2598.0,0.426297,1908.0,2046.0,3430.0,0.25273922,2058.0,2248.0,3888.0,0.2672751,1834.0,1856.0,3424.0,0.2969697,1740.0,1532.0,4396.0,0.4831309
7142,852.0,1048.0,2648.0,0.43290043,2032.0,2164.0,3518.0,0.23829637,2170.0,2272.0,4124.0,0.28955597,1888.0,1803.0,3800.0,0.3564162,1828.0,1545.0,4728.0,0.50741273
7143,823.0,1043.0,2593.0,0.42629263,1908.0,2046.0,3430.0,0.25273922,2058.0,2248.0,3888.0,0.2672751,1834.0,1856.0,3424.0,0.2969697,1828.0,1545.0,4728.0,0.50741273
7144,835.0,1041.0,2651.0,0.436078,1908.0,2046.0,3430.0,0.25273922,2058.0,2248.0,3888.0,0.2672751,1834.0,1856.0,3424.0,0.2969697,1740.0,1532.0,4396.0,0.4831309
7145,831.0,1042.0,2626.0,0.43184295,1908.0,2046.0,3430.0,0.25273922,2058.0,2248.0,3888.0,0.2672751,1834.0,1856.0,3424.0,0.2969697,1740.0,1532.0,4396.0,0.4831309
7146,819.0,1046.0,2621.0,0.42950642,2264.0,2378.0,3618.0,0.20680454,2210.0,2350.0,3710.0,0.22442244,2212.0,2294.0,3648.0,0.2278694,1740.0,1532.0,4396.0,0.4831309
