,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
2836,908.0,982.0,2517.0,0.43869677,2038.0,1900.0,4492.0,0.40550688,1884.0,1684.0,4972.0,0.4939904,1822.0,1601.0,5148.0,0.52555937,1862.0,1435.0,5680.0,0.5966268
2837,910.0,986.0,2599.0,0.44993025,2038.0,1900.0,4492.0,0.40550688,1884.0,1684.0,4972.0,0.4939904,1822.0,1601.0,5148.0,0.52555937,1862.0,1435.0,5680.0,0.5966268
2838,908.0,1022.0,2689.0,0.44920507,2024.0,1825.0,4412.0,0.41478276,1907.0,1622.0,4956.0,0.506841,1824.0,1610.0,5109.0,0.520762,1862.0,1435.0,5680.0,0.5966268
4327,893.0,1036.0,2612.0,0.43201753,2021.0,1878.0,4344.0,0.39633557,1866.0,1642.0,4896.0,0.49770573,1829.0,1589.0,5135.0,0.5273647,1800.0,1419.0,5804.0,0.60708845
4328,891.0,1022.0,2605.0,0.43644884,2021.0,1878.0,4344.0,0.39633557,1866.0,1642.0,4896.0,0.49770573,1829.0,1589.0,5135.0,0.5273647,1800.0,1419.0,5804.0,0.60708845
4329,903.0,988.0,2633.0,0.45429438,2036.0,1896.0,4412.0,0.3988586,1884.0,1684.0,4972.0,0.4939904,1802.0,1586.0,5152.0,0.52923715,1800.0,1419.0,5804.0,0.60708845
4330,891.0,981.0,2646.0,0.45905706,2036.0,1896.0,4412.0,0.3988586,1884.0,1684.0,4972.0,0.4939904,1802.0,1586.0,5152.0,0.52923715,1862.0,1435.0,5680.0,0.5966268
4331,867.0,997.0,2575.0,0.44176933,2036.0,1896.0,4412.0,0.3988586,1884.0,1684.0,4972.0,0.4939904,1802.0,1586.0,5152.0,0.52923715,1862.0,1435.0,5680.0,0.5966268
4332,876.0,973.0,2615.0,0.45763656,2036.0,1896.0,4412.0,0.3988586,1884.0,1684.0,4972.0,0.4939904,1802.0,1586.0,5152.0,0.52923715,1862.0,1435.0,5680.0,0.5966268
4333,891.0,1014.0,2658.0,0.44771242,1979.0,1816.0,4263.0,0.40253332,1907.0,1622.0,4956.0,0.506841,1787.0,1594.0,5096.0,0.52346784,1862.0,1435.0,5680.0,0.5966268
5819,890.0,1030.0,2542.0,0.42329228,2012.0,1839.0,4340.0,0.40475807,1869.0,1704.0,4848.0,0.47985348,1811.0,1578.0,5028.0,0.5222525,1808.0,1407.0,5852.0,0.6123433
5820,927.0,1031.0,2528.0,0.42062378,2012.0,1839.0,4340.0,0.40475807,1869.0,1704.0,4848.0,0.47985348,1811.0,1578.0,5028.0,0.5222525,1808.0,1407.0,5852.0,0.6123433
5821,896.0,1005.0,2574.0,0.4383906,2021.0,1878.0,4344.0,0.39633557,1863.0,1635.0,4940.0,0.5026616,1829.0,1589.0,5135.0,0.5273647,1808.0,1407.0,5852.0,0.6123433
5822,882.0,1018.0,2586.0,0.43507215,2021.0,1878.0,4344.0,0.39633557,1863.0,1635.0,4940.0,0.5026616,1829.0,1589.0,5135.0,0.5273647,1794.0,1436.0,5804.0,0.60331494
5823,880.0,1021.0,2632.0,0.4410074,2021.0,1878.0,4344.0,0.39633557,1863.0,1635.0,4940.0,0.5026616,1829.0,1589.0,5135.0,0.5273647,1794.0,1436.0,5804.0,0.60331494
5824,902.0,1005.0,2566.0,0.43713245,2036.0,1896.0,4412.0,0.3988586,1876.0,1672.0,4988.0,0.4978979,1802.0,1586.0,5152.0,0.52923715,1794.0,1436.0,5804.0,0.60331494
5825,897.0,976.0,2655.0,0.46240705,2036.0,1896.0,4412.0,0.3988586,1876.0,1672.0,4988.0,0.4978979,1802.0,1586.0,5152.0,0.52923715,1834.0,1461.0,5796.0,0.5973543
5826,881.0,974.0,2658.0,0.4636564,2036.0,1896.0,4412.0,0.3988586,1876.0,1672.0,4988.0,0.4978979,1802.0,1586.0,5152.0,0.52923715,1834.0,1461.0,5796.0,0.5973543
5827,882.0,975.0,2564.0,0.4489969,2036.0,1896.0,4412.0,0.3988586,1876.0,1672.0,4988.0,0.4978979,1802.0,1586.0,5152.0,0.52923715,1834.0,1461.0,5796.0,0.5973543
5828,890.0,1020.0,2578.0,0.43301836,1979.0,1816.0,4263.0,0.40253332,1863.0,1653.0,4916.0,0.49672705,1787.0,1594.0,5096.0,0.52346784,1834.0,1461.0,5796.0,0.5973543
7314,873.0,976.0,2639.0,0.46002766,2012.0,1839.0,4340.0,0.40475807,1869.0,1704.0,4848.0,0.47985348,1811.0,1578.0,5028.0,0.5222525,1808.0,1407.0,5852.0,0.6123433
7315,905.0,1003.0,2612.0,0.4450899,2012.0,1839.0,4340.0,0.40475807,1869.0,1704.0,4848.0,0.47985348,1811.0,1578.0,5028.0,0.5222525,1808.0,1407.0,5852.0,0.6123433
7316,880.0,962.0,2664.0,0.46938777,2021.0,1878.0,4344.0,0.39633557,1863.0,1635.0,4940.0,0.5026616,1829.0,1589.0,5135.0,0.5273647,1808.0,1407.0,5852.0,0.6123433
7317,874.0,966.0,2621.0,0.46138835,2021.0,1878.0,4344.0,0.39633557,1863.0,1635.0,4940.0,0.5026616,1829.0,1589.0,5135.0,0.5273647,1794.0,1436.0,5804.0,0.60331494
7318,882.0,997.0,2612.0,0.4474924,2021.0,1878.0,4344.0,0.39633557,1863.0,1635.0,4940.0,0.5026616,1829.0,1589.0,5135.0,0.5273647,1794.0,1436.0,5804.0,0.60331494
7319,898.0,1018.0,2614.0,0.43942732,2036.0,1896.0,4412.0,0.3988586,1876.0,1672.0,4988.0,0.4978979,1802.0,1586.0,5152.0,0.52923715,1794.0,1436.0,5804.0,0.60331494
7320,903.0,985.0,2640.0,0.45655173,2036.0,1896.0,4412.0,0.3988586,1876.0,1672.0,4988.0,0.4978979,1802.0,1586.0,5152.0,0.52923715,1834.0,1461.0,5796.0,0.5973543
7321,905.0,969.0,2627.0,0.46106786,2036.0,1896.0,4412.0,0.3988586,1876.0,1672.0,4988.0,0.4978979,1802.0,1586.0,5152.0,0.52923715,1834.0,1461.0,5796.0,0.5973543
7322,909.0,1000.0,2520.0,0.4318182,2036.0,1896.0,4412.0,0.3988586,1876.0,1672.0,4988.0,0.4978979,1802.0,1586.0,5152.0,0.52923715,1834.0,1461.0,5796.0,0.5973543
7323,899.0,1043.0,2602.0,0.4277092,1979.0,1816.0,4263.0,0.40253332,1863.0,1653.0,4916.0,0.49672705,1787.0,1594.0,5096.0,0.52346784,1834.0,1461.0,5796.0,0.5973543
8810,899.0,984.0,2677.0,0.46244195,2014.0,1825.0,4332.0,0.40717882,1869.0,1704.0,4848.0,0.47985348,1808.0,1603.0,5060.0,0.51883537,1808.0,1407.0,5852.0,0.6123433
8811,911.0,1011.0,2644.0,0.4467852,2016.0,1858.0,4368.0,0.40314808,1863.0,1635.0,4940.0,0.5026616,1846.0,1622.0,5201.0,0.5245493,1808.0,1407.0,5852.0,0.6123433
8812,887.0,984.0,2608.0,0.4521158,2016.0,1858.0,4368.0,0.40314808,1863.0,1635.0,4940.0,0.5026616,1846.0,1622.0,5201.0,0.5245493,1794.0,1436.0,5804.0,0.60331494
8813,881.0,986.0,2607.0,0.45115504,2016.0,1858.0,4368.0,0.40314808,1863.0,1635.0,4940.0,0.5026616,1846.0,1622.0,5201.0,0.5245493,1794.0,1436.0,5804.0,0.60331494
8814,892.0,1005.0,2629.0,0.44689047,2010.0,1870.0,4416.0,0.40502703,1876.0,1672.0,4988.0,0.4978979,1844.0,1574.0,5236.0,0.5377386,1794.0,1436.0,5804.0,0.60331494
8815,909.0,995.0,2560.0,0.44022503,2010.0,1870.0,4416.0,0.40502703,1876.0,1672.0,4988.0,0.4978979,1844.0,1574.0,5236.0,0.5377386,1834.0,1461.0,5796.0,0.5973543
8816,914.0,974.0,2585.0,0.45265523,2010.0,1870.0,4416.0,0.40502703,1876.0,1672.0,4988.0,0.4978979,1844.0,1574.0,5236.0,0.5377386,1834.0,1461.0,5796.0,0.5973543
8817,911.0,979.0,2614.0,0.45505148,2010.0,1870.0,4416.0,0.40502703,1876.0,1672.0,4988.0,0.4978979,1844.0,1574.0,5236.0,0.5377386,1834.0,1461.0,5796.0,0.5973543
8818,902.0,1020.0,2636.0,0.4420131,2010.0,1854.0,4273.0,0.39480987,1863.0,1653.0,4916.0,0.49672705,1830.0,1620.0,5084.0,0.51670647,1834.0,1461.0,5796.0,0.5973543
8819,891.0,1001.0,2584.0,0.44156206,2010.0,1854.0,4273.0,0.39480987,1863.0,1653.0,4916.0,0.49672705,1830.0,1620.0,5084.0,0.51670647,1808.0,1441.0,5700.0,0.59641504
10305,924.0,992.0,2633.0,0.45268965,2014.0,1825.0,4332.0,0.40717882,1854.0,1616.0,4884.0,0.50276923,1808.0,1603.0,5060.0,0.51883537,1800.0,1436.0,5896.0,0.6082924
10306,904.0,1000.0,2649.0,0.45190462,2016.0,1858.0,4368.0,0.40314808,1864.0,1610.0,4984.0,0.51167727,1846.0,1622.0,5201.0,0.5245493,1800.0,1436.0,5896.0,0.6082924
10307,888.0,998.0,2587.0,0.4432357,2016.0,1858.0,4368.0,0.40314808,1864.0,1610.0,4984.0,0.51167727,1846.0,1622.0,5201.0,0.5245493,1794.0,1454.0,5908.0,0.60499865
10308,879.0,969.0,2580.0,0.45393068,2016.0,1858.0,4368.0,0.40314808,1864.0,1610.0,4984.0,0.51167727,1846.0,1622.0,5201.0,0.5245493,1794.0,1454.0,5908.0,0.60499865
10309,887.0,962.0,2601.0,0.4600056,2010.0,1870.0,4416.0,0.40502703,1868.0,1604.0,5016.0,0.51540786,1844.0,1574.0,5236.0,0.5377386,1794.0,1454.0,5908.0,0.60499865
10310,915.0,959.0,2616.0,0.4634965,2010.0,1870.0,4416.0,0.40502703,1868.0,1604.0,5016.0,0.51540786,1844.0,1574.0,5236.0,0.5377386,1800.0,1456.0,5897.0,0.6039712
10311,922.0,979.0,2627.0,0.45701608,2010.0,1870.0,4416.0,0.40502703,1868.0,1604.0,5016.0,0.51540786,1844.0,1574.0,5236.0,0.5377386,1800.0,1456.0,5897.0,0.6039712
10312,915.0,1004.0,2597.0,0.44237712,2010.0,1870.0,4416.0,0.40502703,1868.0,1604.0,5016.0,0.51540786,1844.0,1574.0,5236.0,0.5377386,1800.0,1456.0,5897.0,0.6039712
10313,903.0,1026.0,2592.0,0.43283582,2010.0,1854.0,4273.0,0.39480987,1842.0,1678.0,4876.0,0.4879463,1830.0,1620.0,5084.0,0.51670647,1800.0,1456.0,5897.0,0.6039712
10314,893.0,1034.0,2584.0,0.42841348,2010.0,1854.0,4273.0,0.39480987,1842.0,1678.0,4876.0,0.4879463,1830.0,1620.0,5084.0,0.51670647,1804.0,1417.0,5740.0,0.60402405
16255,809.0,790.0,2839.0,0.56461835,1884.0,1656.0,4912.0,0.4957369,1700.0,1540.0,4420.0,0.48322147,1773.0,1562.0,5288.0,0.5439416,1808.0,1517.0,5408.0,0.56187725
16256,803.0,782.0,2848.0,0.569146,1870.0,1616.0,4996.0,0.5111918,1712.0,1508.0,4628.0,0.5084746,1771.0,1527.0,5376.0,0.55758363,1808.0,1517.0,5408.0,0.56187725
16257,804.0,775.0,2877.0,0.57557505,1870.0,1616.0,4996.0,0.5111918,1712.0,1508.0,4628.0,0.5084746,1771.0,1527.0,5376.0,0.55758363,1893.0,1472.0,5596.0,0.5834748
16258,808.0,766.0,2918.0,0.5841477,1870.0,1616.0,4996.0,0.5111918,1712.0,1508.0,4628.0,0.5084746,1771.0,1527.0,5376.0,0.55758363,1893.0,1472.0,5596.0,0.5834748
16259,818.0,764.0,2912.0,0.5843308,1904.0,1638.0,5036.0,0.50913996,1736.0,1558.0,4520.0,0.48733136,1836.0,1589.0,5315.0,0.53968716,1893.0,1472.0,5596.0,0.5834748
16260,814.0,780.0,2868.0,0.57236844,1904.0,1638.0,5036.0,0.50913996,1736.0,1558.0,4520.0,0.48733136,1836.0,1589.0,5315.0,0.53968716,1824.0,1485.0,5813.0,0.5930392
16261,825.0,782.0,2863.0,0.5709191,1904.0,1638.0,5036.0,0.50913996,1736.0,1558.0,4520.0,0.48733136,1836.0,1589.0,5315.0,0.53968716,1824.0,1485.0,5813.0,0.5930392
