,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
6402,1213.0,997.0,744.0,-0.14531878,2578.0,2620.0,2340.0,-0.05645161,3624.0,3602.0,2962.0,-0.097501524,3888.0,3866.0,3128.0,-0.10551902,4904.0,5060.0,4224.0,-0.0900474
6403,1211.0,991.0,755.0,-0.1351661,2578.0,2620.0,2340.0,-0.05645161,3624.0,3602.0,2962.0,-0.097501524,3888.0,3866.0,3128.0,-0.10551902,4776.0,4948.0,4188.0,-0.083187394
6404,1206.0,995.0,796.0,-0.11111111,2578.0,2620.0,2340.0,-0.05645161,3624.0,3602.0,2962.0,-0.097501524,3888.0,3866.0,3128.0,-0.10551902,4776.0,4948.0,4188.0,-0.083187394
6405,1231.0,993.0,740.0,-0.14598961,2582.0,2606.0,2338.0,-0.05420712,3648.0,3698.0,2918.0,-0.11789601,3898.0,3842.0,3138.0,-0.1008596,4776.0,4948.0,4188.0,-0.083187394
6406,1245.0,999.0,733.0,-0.15357968,2582.0,2606.0,2338.0,-0.05420712,3648.0,3698.0,2918.0,-0.11789601,3898.0,3842.0,3138.0,-0.1008596,4748.0,4852.0,4120.0,-0.08158716
6407,1243.0,1009.0,782.0,-0.12674484,2582.0,2606.0,2338.0,-0.05420712,3648.0,3698.0,2918.0,-0.11789601,3898.0,3842.0,3138.0,-0.1008596,4748.0,4852.0,4120.0,-0.08158716
10285,1251.0,1011.0,741.0,-0.15410958,2572.0,2610.0,2342.0,-0.054119546,3598.0,3600.0,2906.0,-0.10667077,3930.0,3884.0,3176.0,-0.10028329,4920.0,5120.0,4252.0,-0.092616305
10286,1274.0,1021.0,792.0,-0.12630999,2572.0,2610.0,2342.0,-0.054119546,3598.0,3600.0,2906.0,-0.10667077,3930.0,3884.0,3176.0,-0.10028329,4904.0,5060.0,4224.0,-0.0900474
10287,1268.0,1025.0,791.0,-0.12885463,2572.0,2610.0,2342.0,-0.054119546,3598.0,3600.0,2906.0,-0.10667077,3930.0,3884.0,3176.0,-0.10028329,4904.0,5060.0,4224.0,-0.0900474
10288,1233.0,1018.0,746.0,-0.15419501,2572.0,2610.0,2342.0,-0.054119546,3598.0,3600.0,2906.0,-0.10667077,3930.0,3884.0,3176.0,-0.10028329,4904.0,5060.0,4224.0,-0.0900474
10289,1228.0,991.0,746.0,-0.14104779,2572.0,2610.0,2334.0,-0.05582524,3624.0,3602.0,2962.0,-0.097501524,3884.0,3872.0,3154.0,-0.10219186,4904.0,5060.0,4224.0,-0.0900474
10290,1218.0,983.0,783.0,-0.113250285,2572.0,2610.0,2334.0,-0.05582524,3624.0,3602.0,2962.0,-0.097501524,3884.0,3872.0,3154.0,-0.10219186,4776.0,4948.0,4188.0,-0.083187394
10291,1211.0,983.0,780.0,-0.11514464,2572.0,2610.0,2334.0,-0.05582524,3624.0,3602.0,2962.0,-0.097501524,3884.0,3872.0,3154.0,-0.10219186,4776.0,4948.0,4188.0,-0.083187394
10292,1211.0,993.0,720.0,-0.15936953,2584.0,2598.0,2340.0,-0.052247874,3648.0,3698.0,2918.0,-0.11789601,3874.0,3846.0,3160.0,-0.097916074,4776.0,4948.0,4188.0,-0.083187394
